SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,1,1,Alabama,Autauga County,11,0,55601,26995,28606
50,1,1,Alabama,Autauga County,11,1,3364,1728,1636
50,1,1,Alabama,Autauga County,11,2,3423,1779,1644
50,1,1,Alabama,Autauga County,11,3,3882,1977,1905
50,1,1,Alabama,Autauga County,11,4,3755,1913,1842
50,1,1,Alabama,Autauga County,11,5,3173,1629,1544
50,1,1,Alabama,Autauga County,11,6,3705,1830,1875
50,1,1,Alabama,Autauga County,11,7,3461,1659,1802
50,1,1,Alabama,Autauga County,11,8,3628,1767,1861
50,1,1,Alabama,Autauga County,11,9,3616,1717,1899
50,1,1,Alabama,Autauga County,11,10,3966,1912,2054
50,1,1,Alabama,Autauga County,11,11,3811,1845,1966
50,1,1,Alabama,Autauga County,11,12,3927,1956,1971
50,1,1,Alabama,Autauga County,11,13,3237,1496,1741
50,1,1,Alabama,Autauga County,11,14,2589,1228,1361
50,1,1,Alabama,Autauga County,11,15,2311,1019,1292
50,1,1,Alabama,Autauga County,11,16,1739,724,1015
50,1,1,Alabama,Autauga County,11,17,1143,487,656
50,1,1,Alabama,Autauga County,11,18,871,329,542
50,1,3,Alabama,Baldwin County,11,0,218022,105657,112365
50,1,3,Alabama,Baldwin County,11,1,11955,6135,5820
50,1,3,Alabama,Baldwin County,11,2,12802,6519,6283
50,1,3,Alabama,Baldwin County,11,3,13981,7049,6932
50,1,3,Alabama,Baldwin County,11,4,12932,6398,6534
50,1,3,Alabama,Baldwin County,11,5,11108,5632,5476
50,1,3,Alabama,Baldwin County,11,6,12471,6145,6326
50,1,3,Alabama,Baldwin County,11,7,12057,5941,6116
50,1,3,Alabama,Baldwin County,11,8,13156,6318,6838
50,1,3,Alabama,Baldwin County,11,9,12877,6261,6616
50,1,3,Alabama,Baldwin County,11,10,14461,7038,7423
50,1,3,Alabama,Baldwin County,11,11,14242,6817,7425
50,1,3,Alabama,Baldwin County,11,12,15744,7416,8328
50,1,3,Alabama,Baldwin County,11,13,15665,7307,8358
50,1,3,Alabama,Baldwin County,11,14,14267,6622,7645
50,1,3,Alabama,Baldwin County,11,15,12471,5974,6497
50,1,3,Alabama,Baldwin County,11,16,8465,3946,4519
50,1,3,Alabama,Baldwin County,11,17,5064,2384,2680
50,1,3,Alabama,Baldwin County,11,18,4304,1755,2549
50,1,5,Alabama,Barbour County,11,0,24881,13133,11748
50,1,5,Alabama,Barbour County,11,1,1284,656,628
50,1,5,Alabama,Barbour County,11,2,1448,717,731
50,1,5,Alabama,Barbour County,11,3,1509,775,734
50,1,5,Alabama,Barbour County,11,4,1451,759,692
50,1,5,Alabama,Barbour County,11,5,1472,871,601
50,1,5,Alabama,Barbour County,11,6,1796,1133,663
50,1,5,Alabama,Barbour County,11,7,1670,992,678
50,1,5,Alabama,Barbour County,11,8,1531,923,608
50,1,5,Alabama,Barbour County,11,9,1450,867,583
50,1,5,Alabama,Barbour County,11,10,1624,929,695
50,1,5,Alabama,Barbour County,11,11,1603,847,756
50,1,5,Alabama,Barbour County,11,12,1675,826,849
50,1,5,Alabama,Barbour County,11,13,1536,749,787
50,1,5,Alabama,Barbour County,11,14,1540,701,839
50,1,5,Alabama,Barbour County,11,15,1337,608,729
50,1,5,Alabama,Barbour County,11,16,907,401,506
50,1,5,Alabama,Barbour County,11,17,576,231,345
50,1,5,Alabama,Barbour County,11,18,472,148,324
50,1,7,Alabama,Bibb County,11,0,22400,11921,10479
50,1,7,Alabama,Bibb County,11,1,1285,656,629
50,1,7,Alabama,Bibb County,11,2,1171,610,561
50,1,7,Alabama,Bibb County,11,3,1326,711,615
50,1,7,Alabama,Bibb County,11,4,1270,683,587
50,1,7,Alabama,Bibb County,11,5,1303,767,536
50,1,7,Alabama,Bibb County,11,6,1726,994,732
50,1,7,Alabama,Bibb County,11,7,1601,960,641
50,1,7,Alabama,Bibb County,11,8,1512,912,600
50,1,7,Alabama,Bibb County,11,9,1440,796,644
50,1,7,Alabama,Bibb County,11,10,1598,886,712
50,1,7,Alabama,Bibb County,11,11,1581,847,734
50,1,7,Alabama,Bibb County,11,12,1534,801,733
50,1,7,Alabama,Bibb County,11,13,1363,671,692
50,1,7,Alabama,Bibb County,11,14,1182,576,606
50,1,7,Alabama,Bibb County,11,15,992,455,537
50,1,7,Alabama,Bibb County,11,16,731,323,408
50,1,7,Alabama,Bibb County,11,17,422,165,257
50,1,7,Alabama,Bibb County,11,18,363,108,255
50,1,9,Alabama,Blount County,11,0,57840,28500,29340
50,1,9,Alabama,Blount County,11,1,3460,1723,1737
50,1,9,Alabama,Blount County,11,2,3635,1838,1797
50,1,9,Alabama,Blount County,11,3,3902,1923,1979
50,1,9,Alabama,Blount County,11,4,3668,1882,1786
50,1,9,Alabama,Blount County,11,5,3178,1680,1498
50,1,9,Alabama,Blount County,11,6,3564,1791,1773
50,1,9,Alabama,Blount County,11,7,3370,1687,1683
50,1,9,Alabama,Blount County,11,8,3514,1775,1739
50,1,9,Alabama,Blount County,11,9,3553,1739,1814
50,1,9,Alabama,Blount County,11,10,3921,1969,1952
50,1,9,Alabama,Blount County,11,11,3897,1923,1974
50,1,9,Alabama,Blount County,11,12,3947,2034,1913
50,1,9,Alabama,Blount County,11,13,3683,1785,1898
50,1,9,Alabama,Blount County,11,14,3282,1564,1718
50,1,9,Alabama,Blount County,11,15,2961,1329,1632
50,1,9,Alabama,Blount County,11,16,1970,899,1071
50,1,9,Alabama,Blount County,11,17,1303,588,715
50,1,9,Alabama,Blount County,11,18,1032,371,661
50,1,11,Alabama,Bullock County,11,0,10138,5527,4611
50,1,11,Alabama,Bullock County,11,1,600,287,313
50,1,11,Alabama,Bullock County,11,2,598,303,295
50,1,11,Alabama,Bullock County,11,3,601,340,261
50,1,11,Alabama,Bullock County,11,4,529,268,261
50,1,11,Alabama,Bullock County,11,5,626,368,258
50,1,11,Alabama,Bullock County,11,6,769,486,283
50,1,11,Alabama,Bullock County,11,7,757,474,283
50,1,11,Alabama,Bullock County,11,8,689,419,270
50,1,11,Alabama,Bullock County,11,9,620,375,245
50,1,11,Alabama,Bullock County,11,10,654,406,248
50,1,11,Alabama,Bullock County,11,11,604,335,269
50,1,11,Alabama,Bullock County,11,12,752,393,359
50,1,11,Alabama,Bullock County,11,13,678,357,321
50,1,11,Alabama,Bullock County,11,14,541,264,277
50,1,11,Alabama,Bullock County,11,15,407,176,231
50,1,11,Alabama,Bullock County,11,16,296,123,173
50,1,11,Alabama,Bullock County,11,17,233,100,133
50,1,11,Alabama,Bullock County,11,18,184,53,131
50,1,13,Alabama,Butler County,11,0,19680,9165,10515
50,1,13,Alabama,Butler County,11,1,1119,564,555
50,1,13,Alabama,Butler County,11,2,1232,658,574
50,1,13,Alabama,Butler County,11,3,1288,695,593
50,1,13,Alabama,Butler County,11,4,1173,626,547
50,1,13,Alabama,Butler County,11,5,1090,554,536
50,1,13,Alabama,Butler County,11,6,1196,593,603
50,1,13,Alabama,Butler County,11,7,1083,453,630
50,1,13,Alabama,Butler County,11,8,1254,584,670
50,1,13,Alabama,Butler County,11,9,1136,491,645
50,1,13,Alabama,Butler County,11,10,1182,541,641
50,1,13,Alabama,Butler County,11,11,1131,495,636
50,1,13,Alabama,Butler County,11,12,1360,597,763
50,1,13,Alabama,Butler County,11,13,1441,680,761
50,1,13,Alabama,Butler County,11,14,1242,560,682
50,1,13,Alabama,Butler County,11,15,958,457,501
50,1,13,Alabama,Butler County,11,16,702,282,420
50,1,13,Alabama,Butler County,11,17,508,198,310
50,1,13,Alabama,Butler County,11,18,585,137,448
50,1,15,Alabama,Calhoun County,11,0,114277,54914,59363
50,1,15,Alabama,Calhoun County,11,1,6580,3339,3241
50,1,15,Alabama,Calhoun County,11,2,6561,3330,3231
50,1,15,Alabama,Calhoun County,11,3,7146,3730,3416
50,1,15,Alabama,Calhoun County,11,4,7491,3768,3723
50,1,15,Alabama,Calhoun County,11,5,7286,3635,3651
50,1,15,Alabama,Calhoun County,11,6,8177,4050,4127
