county,state,state_abbr,ssa,fips
Autauga,Alabama,AL,1000,1001
Baldwin,Alabama,AL,1010,1003
Barbour,Alabama,AL,1020,1005
Bibb,Alabama,AL,1030,1007
Blount,Alabama,AL,1040,1009
Bullock,Alabama,AL,1050,1011
Butler,Alabama,AL,1060,1013
Calhoun,Alabama,AL,1070,1015
Chambers,Alabama,AL,1080,1017
Cherokee,Alabama,AL,1090,1019
Chilton,Alabama,AL,1100,1021
Choctaw,Alabama,AL,1110,1023
Clarke,Alabama,AL,1120,1025
Clay,Alabama,AL,1130,1027
Cleburne,Alabama,AL,1140,1029
Coffee,Alabama,AL,1150,1031
Colbert,Alabama,AL,1160,1033
Conecuh,Alabama,AL,1170,1035
Coosa,Alabama,AL,1180,1037
Covington,Alabama,AL,1190,1039
Crenshaw,Alabama,AL,1200,1041
Cullman,Alabama,AL,1210,1043
Dale,Alabama,AL,1220,1045
Dallas,Alabama,AL,1230,1047
DeKalb,Alabama,AL,1240,1049
Elmore,Alabama,AL,1250,1051
Escambia,Alabama,AL,1260,1053
Etowah,Alabama,AL,1270,1055
Fayette,Alabama,AL,1280,1057
Franklin,Alabama,AL,1290,1059
Geneva,Alabama,AL,1300,1061
Greene,Alabama,AL,1310,1063
Hale,Alabama,AL,1320,1065
Henry,Alabama,AL,1330,1067
Houston,Alabama,AL,1340,1069
Jackson,Alabama,AL,1350,1071
Jefferson,Alabama,AL,1360,1073
Lamar,Alabama,AL,1370,1075
Lauderdale,Alabama,AL,1380,1077
Lawrence,Alabama,AL,1390,1079
Lee,Alabama,AL,1400,1081
Limestone,Alabama,AL,1410,1083
Lowndes,Alabama,AL,1420,1085
Macon,Alabama,AL,1430,1087
Madison,Alabama,AL,1440,1089
Marengo,Alabama,AL,1450,1091
Marion,Alabama,AL,1460,1093
Marshall,Alabama,AL,1470,1095
Mobile,Alabama,AL,1480,1097
Monroe,Alabama,AL,1490,1099
Montgomery,Alabama,AL,1500,1101
Morgan,Alabama,AL,1510,1103
Perry,Alabama,AL,1520,1105
Pickens,Alabama,AL,1530,1107
Pike,Alabama,AL,1540,1109
Randolph,Alabama,AL,1550,1111
Russell,Alabama,AL,1560,1113
St. Clair,Alabama,AL,1570,1115
Shelby,Alabama,AL,1580,1117
Sumter,Alabama,AL,1590,1119
Talladega,Alabama,AL,1600,1121
Tallapoosa,Alabama,AL,1610,1123
Tuscaloosa,Alabama,AL,1620,1125
Walker,Alabama,AL,1630,1127
Washington,Alabama,AL,1640,1129
Wilcox,Alabama,AL,1650,1131
Winston,Alabama,AL,1660,1133
Statewide,Alabama,AL,1999,1990
Aleutians East,Alaska,AK,2013,2013
Aleutians West,Alaska,AK,2016,2016
Anchorage,Alaska,AK,2020,2020
Angoon,Alaska,AK,2030,2031
Barrow-North Slope,Alaska,AK,2040,2040
Bethel,Alaska,AK,2050,2050
Bristol Bay Borough,Alaska,AK,2060,2060
Denali,Alaska,AK,2068,2068
Dillingham,Alaska,AK,2070,2070
Cordova-Mccarthy,Alaska,AK,2080,2080
Fairbanks North Star,Alaska,AK,2090,2090
Haines,Alaska,AK,2100,2100
Juneau,Alaska,AK,2110,2110
Kenai-Cook Inlet,Alaska,AK,2120,2120
Kenai Peninsula,Alaska,AK,2122,2122
Ketchikan Gateway,Alaska,AK,2130,2130
Kobuk,Alaska,AK,2140,2140
Kodiak Island Borough,Alaska,AK,2150,2150
Ksukokwin,Alaska,AK,2160,2160
Lake And Peninsula,Alaska,AK,2164,2164
Matanuska-Susitna,Alaska,AK,2170,2170
Nome,Alaska,AK,2180,2180
North Slope Borouh,Alaska,AK,2185,2185
Northwest Artic Borough,Alaska,AK,2188,2188
Outer Ketchikan,Alaska,AK,2190,2190
Pr.Of Wales,Alaska,AK,2200,2200
Pr.Of Wales-Out.Ketchikan,Alaska,AK,2201,2201
Seward,Alaska,AK,2210,2210
Sitka Borough,Alaska,AK,2220,2220
Skagway-Yakutat,Alaska,AK,2230,2230
Skagway-Yakutat-Angoon,Alaska,AK,2231,2231
Skagway-Hoonah-Angoon,Alaska,AK,2232,2232
Southeast Fairbanks,Alaska,AK,2240,2240
Upper Yukon,Alaska,AK,2250,2250
Valdez-Chitna-Whittier,Alaska,AK,2260,2260
Valdez-Cordova,Alaska,AK,2261,2261
Wade Hampton,Alaska,AK,2270,2270
Wrangell-Petersburg,Alaska,AK,2280,2280
Yakutat Borough,Alaska,AK,2282,2282
Yukon-Koyukuk,Alaska,AK,2290,2290
Statewide,Alaska,AK,2999,2990
Apache,Arizona,AZ,3000,4001
Cochise,Arizona,AZ,3010,4003
Coconino,Arizona,AZ,3020,4005
Gila,Arizona,AZ,3030,4007
Graham,Arizona,AZ,3040,4009
Greenlee,Arizona,AZ,3050,4011
La Paz,Arizona,AZ,3055,4012
Maricopa,Arizona,AZ,3060,4013
