state,county,% Age 0 to 29 years,% Age 30 to 39,% Age 40 to 49 years,% Age 50 to 59 years,% Age 60 to 69 years,% Age 70 to 79,% Age 80 to 85+,fips
Alabama,Autauga,38.31226057,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,1001
Alabama,Baldwin,34.5144068,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,1003
Alabama,Barbour,36.01141433,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107,4.212049355,1005
Alabama,Bibb,36.07589286,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,1007
Alabama,Blount,37.01071923,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,1009
Alabama,Bullock,36.72321957,14.26316828,12.56658118,13.37541921,12.02406786,6.934306569,4.113237325,1011
Alabama,Butler,36.06707317,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,1013
Alabama,Calhoun,37.83876021,12.13280013,12.01204092,13.41039754,12.8118519,7.857224113,3.936925191,1015
Alabama,Chambers,35.87981556,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,1017
Alabama,Cherokee,32.21803934,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,1019
Alabama,Chilton,38.58401468,11.85196929,12.80773673,13.43510067,12.13734061,7.551015786,3.632822232,1021
Alabama,Choctaw,32.82454637,10.03815902,11.51000701,15.16237053,14.20450121,10.67673857,5.583677284,1023
Alabama,Clarke,36.20401338,10.68979933,12.00250836,14.29347826,12.52508361,9.280936455,5.004180602,1025
Alabama,Clay,34.10169492,10.96045198,12.08286252,14.99811676,13.55178908,9.145009416,5.16007533,1027
Alabama,Cleburne,36.1713485,11.10962834,12.87782745,14.0988857,12.35070394,9.061186362,4.330419697,1029
Alabama,Coffee,38.03771986,12.68758789,13.28478684,12.83399796,11.47777842,7.634514246,4.043614787,1031
Alabama,Colbert,35.38402542,11.73076221,12.17267448,13.71023703,13.31215076,8.851028085,4.839122019,1033
Alabama,Conecuh,34.2999104,10.26309359,10.87399202,14.2868779,14.05880916,10.65406858,5.563248351,1035
Alabama,Coosa,29.08072795,9.594027065,12.86980868,16.33224452,16.29491367,10.61129258,5.216985534,1037
Alabama,Covington,35.20791651,11.06905316,11.29616612,13.899854,13.61866652,9.484669875,5.423673823,1039
Alabama,Crenshaw,36.85619213,11.26302083,11.9212963,13.83825231,13.22337963,8.543113426,4.35474537,1041
Alabama,Cullman,37.05687783,11.89568802,12.38584885,13.46324393,12.52606601,8.653915294,4.018360058,1043
Alabama,Dale,39.45788055,12.89321023,11.61859629,12.70937168,11.74524062,7.664024839,3.911675791,1045
Alabama,Dallas,38.8018794,11.21900287,10.8431219,13.7274863,13.34377447,7.98486035,4.079874706,1047
Alabama,DeKalb,38.57673181,11.51362331,13.08958465,13.16382994,12.04034461,7.878405828,3.737479863,1049
Alabama,Elmore,38.02435063,13.44169404,13.43680926,13.67982708,11.29727551,7.031641164,3.088402311,1051
Alabama,Escambia,37.30815282,12.53401546,12.77620551,13.23337324,11.75302057,8.310656362,4.084576031,1053
Alabama,Etowah,36.20159803,11.56281402,12.98231237,13.39108887,13.1179208,8.596989298,4.147276612,1055
Alabama,Fayette,35.21572446,10.81360677,12.13412037,13.60068156,13.74064383,9.706079231,4.789143796,1057
Alabama,Franklin,39.2755795,11.65067117,13.2034563,12.88460925,11.33182412,7.617256002,4.036603641,1059
Alabama,Geneva,34.87117124,11.22216311,12.3470396,13.78353728,13.84434142,9.17382382,4.757923539,1061
Alabama,Greene,36.28082109,10.51864448,9.692700109,13.33657233,15.63221183,9.109680554,5.42936961,1063
Alabama,Hale,38.28602472,11.02132283,10.8719272,13.73081624,13.14681516,8.15564308,4.787450767,1065
Alabama,Henry,33.13963624,11.12208728,12.53413911,13.05712127,14.92242431,10.07612296,5.148468824,1067
Alabama,Houston,37.41811654,12.70220202,12.39090163,13.29138099,12.06718741,7.981130994,4.149080422,1069
Alabama,Jackson,34.50981908,10.89376836,13.00061852,13.92647286,13.93227153,9.389979898,4.347069739,1071
Alabama,Jefferson,39.21492492,13.58865463,12.167602,12.70574852,11.92507205,6.522675565,3.875322312,1073
Alabama,Lamar,33.99306559,10.62554175,12.73475874,13.74602716,13.37041318,10.0982375,5.431956082,1075
Alabama,Lauderdale,37.32559776,11.05566801,11.42260275,13.18259062,13.14037689,9.103012329,4.770151645,1077
Alabama,Lawrence,35.50383833,11.06290014,12.57699427,15.21376339,12.92896805,8.890372303,3.823163516,1079
Alabama,Lee,47.06571266,12.7655681,11.81217633,11.43826133,9.213680531,5.318376733,2.386224312,1081
Alabama,Limestone,36.5233847,13.52132593,13.92996028,14.7056377,11.16829912,6.935346351,3.216045917,1083
Alabama,Lowndes,37.35712853,10.96851815,10.8582314,14.62803289,13.14417485,8.682574694,4.361339483,1085
Alabama,Macon,41.42307067,9.062313574,9.65887521,12.77184229,13.78057378,8.758609469,4.544715006,1087
Alabama,Madison,38.45885206,13.19495033,12.12679288,14.86280384,11.1538556,6.58929005,3.613455237,1089
Alabama,Marengo,37.11318578,10.88324767,11.85356131,13.48473723,12.98122312,8.617434176,5.066610721,1091
Alabama,Marion,34.23714007,10.99687531,12.45842153,14.36347142,12.88176595,9.767160568,5.295165138,1093
Alabama,Marshall,39.42086589,11.8771395,12.22570207,13.12884329,11.60245138,7.933700278,3.811297589,1095
Alabama,Mobile,39.72283248,12.82008522,11.74650822,13.01899424,11.89442112,7.174500975,3.622657744,1097
Alabama,Monroe,35.92348222,10.16281388,11.8953814,14.33046945,13.71339061,8.985617316,4.988845113,1099
Alabama,Montgomery,40.90439975,13.42248287,11.95280006,12.42719135,11.34729783,6.352236638,3.59359151,1101
Alabama,Morgan,37.09662521,12.00698637,12.5998203,14.23809084,12.19760011,7.873103309,3.98777385,1103
Alabama,Perry,41.89277899,9.814004376,10.50328228,11.44420131,12.37417943,8.796498906,5.175054705,1105
Alabama,Pickens,34.95837095,12.65924366,11.89186478,14.66044739,12.87992778,8.380981041,4.56916441,1107
Alabama,Pike,49.0971264,10.00659908,9.832623433,10.56152139,10.0485932,6.836042954,3.617493551,1109
Alabama,Randolph,35.85918592,10.19581958,11.7579758,14.4290429,13.75577558,9.280528053,4.721672167,1111
Alabama,Russell,40.69849951,13.5027085,12.17009051,13.2050328,10.95861962,6.327339437,3.137709628,1113
Alabama,Shelby,37.63994678,13.05706352,14.21047996,13.58648537,11.49661346,6.767049748,3.242361166,1117
Alabama,St. Clair,36.43590033,13.13789604,13.35889052,13.9406923,12.07576953,7.680685534,3.370165746,1115
Alabama,Sumter,45.11070838,8.226302104,9.424001261,12.13458356,13.15893153,6.93404775,5.01142542,1119
Alabama,Talladega,36.41829934,12.0233502,12.68978303,13.78463697,13.05932755,8.226436839,3.798166057,1121
Alabama,Tallapoosa,34.59268588,10.17112379,11.46257747,14.30476332,14.93443959,9.97357829,4.560831667,1123
Alabama,Tuscaloosa,45.66346435,12.76620188,11.43788503,11.13488519,10.47096611,5.574622686,2.951974764,1125
Alabama,Walker,36.38461176,11.02478379,12.49077867,13.79196685,13.17197972,8.965484767,4.170394437,1127
Alabama,Washington,36.34143363,10.69117108,12.2786665,14.39736232,13.31053853,8.657955794,4.322872146,1129
Alabama,Wilcox,38.96678272,10.5674226,11.18848217,12.59998118,13.41865061,8.346664157,4.912016562,1131
Alabama,Winston,33.27979713,10.51986475,12.48098056,14.98309383,13.60946746,10.21555368,4.911242604,1133
Arizona,Apache,43.62137626,11.63496616,10.57534323,12.70015873,11.24648417,6.804700771,3.416970676,4001
Arizona,Cochise,36.97325866,11.90818017,9.996844679,12.00757277,13.55762404,10.40151455,5.155005127,4003
Arizona,Coconino,48.66087054,12.09486609,10.18312403,10.87613928,10.38612849,5.439119661,2.359751915,4005
Arizona,Gila,31.59271837,9.46018668,8.669672846,12.95069495,17.23171705,13.66698213,6.428027983,4007
Arizona,Graham,45.29575541,13.61105274,11.70939273,10.24637529,9.529312881,6.135742803,3.472368145,4009
Arizona,Greenlee,43.70979648,14.64726352,11.69461141,11.14626173,9.9546557,5.272593061,3.574818096,4011
Arizona,La Paz,27.51445635,8.536354157,7.626315291,10.63133946,14.38524979,20.02085506,11.2854299,4012
Arizona,Maricopa,40.73705956,13.7470459,12.70526777,12.16559536,10.24971751,6.82652493,3.568788961,4013
Arizona,Mohave,28.58458602,9.526604629,9.401574803,13.50226676,17.48651873,14.66857552,6.829873539,4015
Arizona,Navajo,41.42786002,11.2399837,10.42057133,12.1698583,12.69862828,8.316356558,3.726741817,4017
Arizona,Pima,39.64658883,11.74874143,10.94369693,11.61362099,12.30731623,8.908517496,4.831518094,4019
Arizona,Pinal,36.96733447,13.386024,12.06763907,11.07264424,12.43016697,10.11678721,3.959404032,4021
Arizona,Santa Cruz,42.12981875,10.69209434,11.02534884,11.88321042,11.77570897,8.402313431,4.091505235,4023
Arizona,Yavapai,27.46160444,8.865353696,9.176138935,13.43531917,19.55662455,14.71984068,6.785118517,4025
Arizona,Yuma,43.86502489,12.41938829,10.06043521,10.10333384,9.358971941,8.848902549,5.34394328,4027
Arkansas,Arkansas,36.72125612,10.87286848,12.05470201,13.60796893,13.43913557,8.340368057,4.963700827,5001
Arkansas,Ashley,36.58086401,10.490871,12.2867405,13.79327547,12.78559314,9.543050983,4.519604909,5003
Arkansas,Baxter,28.39568466,9.39715034,9.721521421,13.51546169,16.33869146,14.60390687,8.027583556,5005
Arkansas,Benton,41.56517784,15.23616328,13.15405271,11.6009068,9.298333138,6.014497007,3.130869233,5007
Arkansas,Boone,36.52347919,11.24066169,11.68089648,13.4791889,12.49733191,9.503735326,5.07470651,5009
Arkansas,Bradley,37.20289988,11.91153528,12.04001101,13.11370102,12.45296871,8.36009911,4.918784987,5011
Arkansas,Calhoun,32.91642979,10.68789085,11.91965132,15.40648096,14.64847451,9.1529278,5.268144779,5013
Arkansas,Carroll,34.43999575,10.41703575,11.01938136,13.20199837,15.49445488,10.67569004,4.751443858,5015
Arkansas,Chicot,36.44376317,10.79708756,11.17072236,13.56581721,13.97777352,8.421153478,5.623682698,5017
Arkansas,Clark,46.54820724,9.741172204,10.15819772,11.13276823,10.7202756,7.470196274,4.229182721,5019
Arkansas,Clay,35.58294605,10.80352933,11.51747828,14.03650569,12.55472486,10.02222671,5.482589075,5021
Arkansas,Cleburne,30.09012618,10.17824955,10.73502904,14.47226117,14.88483877,12.68576006,6.953735229,5023
Arkansas,Cleveland,34.63457221,11.01272138,12.27238713,14.28036917,13.41980544,9.45372911,4.926415565,5025
Arkansas,Columbia,44.17725284,10.48986702,10.02676637,11.87492034,11.18664231,7.392615881,4.851935251,5027
Arkansas,Conway,35.79053181,11.50256091,11.64616342,14.27887607,12.94337274,8.735819252,5.102675793,5029
Arkansas,Craighead,43.68632436,13.95106763,11.95397852,11.30547726,9.748705761,6.005084839,3.349361632,5031
Arkansas,Crawford,38.79128158,12.19600669,12.60448538,13.36939722,11.71024824,7.620729899,3.707850992,5033
Arkansas,Crittenden,42.98953291,12.34123536,11.7165198,12.92457904,10.63257623,6.290596169,3.10496049,5035
Arkansas,Cross,37.46701847,11.41760614,12.40705205,13.46845766,12.05924682,8.821060206,4.359558647,5037
Arkansas,Dallas,34.08521303,10.76301866,10.4845447,13.49206349,14.9122807,10.21999443,6.04288499,5039
Arkansas,Desha,38.7248089,11.25781793,10.49339819,13.09937457,13.63794302,8.330437804,4.456219597,5041
Arkansas,Drew,42.15953732,10.99410738,10.814055,12.43998254,11.35421213,7.480357922,4.757747708,5043
Arkansas,Faulkner,45.6652725,13.3006426,11.9385286,11.48822973,9.350511995,5.589474865,2.667339711,5045
Arkansas,Franklin,36.96799551,11.41493543,11.9427288,13.67209433,12.5491297,8.411005053,5.042111173,5047
Arkansas,Fulton,31.86893797,9.422120792,10.7425218,13.87236124,15.6981009,11.98141658,6.414540712,5049
Arkansas,Garland,33.30980092,11.0373762,11.21992053,13.24908728,14.58539242,10.8084394,5.789983258,5051
Arkansas,Grant,36.17220145,12.2223444,12.96459204,14.24015835,11.8979547,8.456124918,4.046624148,5053
Arkansas,Greene,39.71759515,12.73248759,13.13403199,12.84280199,10.70932157,7.247655819,3.616105902,5055
Arkansas,Hempstead,39.76817994,10.81367002,11.24143324,13.45844257,12.08316085,8.095303804,4.539809576,5057
Arkansas,Hot Spring,35.48262663,12.15394202,12.81861072,13.76813744,13.03522151,8.551675024,4.189786653,5059
Arkansas,Howard,39.71966119,11.75324189,11.16108238,13.29735402,11.38595308,8.012892587,4.669814856,5061
Arkansas,Independence,38.90599289,12.01762302,12.21933224,12.80588142,11.86103296,7.710069537,4.480067944,5063
Arkansas,Izard,30.13315677,10.5863312,11.57948944,14.45596998,14.67667182,11.6751269,6.893253881,5065
Arkansas,Jackson,35.64332877,13.47926953,12.64648147,13.4911665,12.34310868,8.321932068,4.074712986,5067
Arkansas,Jefferson,39.19311742,12.07387615,11.35743019,13.1984614,12.67287195,7.510937546,3.993305341,5069
Arkansas,Johnson,40.38964924,12.40370952,11.39780121,13.1889911,11.28187869,7.512527111,3.825443123,5071
Arkansas,Lafayette,32.02633942,9.218796767,11.10445974,15.30978749,14.68123316,11.50853038,6.150853038,5073
Arkansas,Lawrence,37.79968358,10.87379822,11.43361324,13.53291956,11.98125837,9.042229524,5.336497505,5075
Arkansas,Lee,34.29048414,13.5114079,13.27768503,13.02170284,11.99777407,8.78130217,5.119643851,5077
Arkansas,Lincoln,35.71695435,16.16976762,13.8533961,13.59934245,9.930508855,6.702533064,4.027497572,5079
Arkansas,Little River,35.48596463,10.94434529,12.19373682,13.47558007,13.46746714,9.938341717,4.494564336,5081
Arkansas,Logan,35.38206744,10.80185858,12.31540691,14.90086028,12.96867093,9.016883655,4.614252197,5083
Arkansas,Lonoke,40.86101796,14.21996552,13.23024288,12.73062981,10.0682895,6.060523779,2.829330546,5085
Arkansas,Madison,37.01231721,11.2493174,11.7650628,13.9311935,13.4093805,8.488562587,4.144166009,5087
Arkansas,Marion,28.63891879,8.934337998,9.639995216,14.73507954,18.94510226,13.49718933,5.609376869,5089
Arkansas,Miller,38.73187741,12.7064599,12.30959809,13.1308497,11.58469444,7.590842356,3.945678106,5091
Arkansas,Mississippi,41.98452921,12.23356531,11.46730037,13.20837072,11.31453236,6.324110672,3.467591358,5093
Arkansas,Monroe,34.10144928,9.565217391,10.1884058,14.92753623,15.42028986,9.608695652,6.188405797,5095
Arkansas,Montgomery,29.94173017,8.191393994,10.51098162,16.30434783,15.72164948,12.66248319,6.667413716,5097
Arkansas,Nevada,35.5632957,10.55729042,11.6982945,14.14845064,13.66802786,9.079990392,5.284650492,5099
Arkansas,Newton,30.82639334,9.98078155,10.19859065,14.10634209,16.79692505,12.59449071,5.496476618,5101
Arkansas,Ouachita,35.35965433,11.08192832,11.16241633,13.94560705,14.94535288,8.358044565,5.146996526,5103
Arkansas,Perry,34.91112828,11.02202473,12.55795981,14.31607419,13.41769706,8.945131376,4.829984544,5105
Arkansas,Phillips,40.32946919,10.11148705,10.14476676,13.18431416,13.63913695,8.153530423,4.437295468,5107
Arkansas,Pike,34.66691652,10.69989694,13.23901434,13.92298323,13.69811674,8.891595615,4.881476623,5109
