County ,State,FIPS,Apr18_Cases,Apri18_Deaths
Autauga,Alabama,1001,25,2
Baldwin,Alabama,1003,109,2
Barbour,Alabama,1005,18,0
Bibb,Alabama,1007,26,0
Blount,Alabama,1009,20,0
Bullock,Alabama,1011,9,0
Butler,Alabama,1013,13,0
Calhoun,Alabama,1015,66,2
Chambers,Alabama,1017,240,11
Cherokee,Alabama,1019,12,0
Chilton,Alabama,1021,39,0
Choctaw,Alabama,1023,14,0
Clarke,Alabama,1025,24,0
Clay,Alabama,1027,17,0
Cleburne,Alabama,1029,12,0
Coffee,Alabama,1031,56,0
Colbert,Alabama,1033,15,1
Conecuh,Alabama,1035,10,0
Coosa,Alabama,1037,22,1
Covington,Alabama,1039,21,1
Crenshaw,Alabama,1041,6,0
Cullman,Alabama,1043,42,0
Dale,Alabama,1045,17,0
Dallas,Alabama,1047,22,2
DeKalb,Alabama,1049,40,2
Elmore,Alabama,1051,58,1
Escambia,Alabama,1053,12,0
Etowah,Alabama,1055,93,7
Fayette,Alabama,1057,4,0
Franklin,Alabama,1059,17,0
Geneva,Alabama,1061,4,0
Greene,Alabama,1063,29,0
Hale,Alabama,1065,23,1
Henry,Alabama,1067,17,0
Houston,Alabama,1069,63,2
Jackson,Alabama,1071,38,2
Jefferson,Alabama,1073,673,25
Lamar,Alabama,1075,8,0
Lauderdale,Alabama,1077,23,4
Lawrence,Alabama,1079,9,0
Lee,Alabama,1081,306,14
Limestone,Alabama,1083,40,0
Lowndes,Alabama,1085,27,0
Macon,Alabama,1087,24,2
Madison,Alabama,1089,197,4
Marengo,Alabama,1091,25,1
Marion,Alabama,1093,60,5
Marshall,Alabama,1095,139,4
Mobile,Alabama,1097,638,25
Monroe,Alabama,1099,8,0
Montgomery,Alabama,1101,217,3
Morgan,Alabama,1103,45,0
Perry,Alabama,1105,9,0
Pickens,Alabama,1107,33,0
Pike,Alabama,1109,34,0
Randolph,Alabama,1111,51,3
Russell,Alabama,1113,42,0
St. Clair,Alabama,1115,53,0
Shelby,Alabama,1117,257,7
Sumter,Alabama,1119,35,0
Talladega,Alabama,1121,44,1
Tallapoosa,Alabama,1123,180,11
Tuscaloosa,Alabama,1125,141,0
Walker,Alabama,1127,83,0
Washington,Alabama,1129,15,1
Wilcox,Alabama,1131,45,0
Winston,Alabama,1133,9,0
Apache,Arizona,4001,169,4
Cochise,Arizona,4003,22,0
Coconino,Arizona,4005,314,29
Gila,Arizona,4007,7,0
Graham,Arizona,4009,2,0
Greenlee,Arizona,4011,2,0
La Paz,Arizona,4012,5,1
Maricopa,Arizona,4013,2491,70
Mohave,Arizona,4015,52,2
Navajo,Arizona,4017,452,11
Pima,Arizona,4019,856,56
Pinal,Arizona,4021,235,6
Santa Cruz,Arizona,4023,16,0
Yavapai,Arizona,4025,72,1
Yuma,Arizona,4027,24,1
Arkansas,Arkansas,5001,2,0
Ashley,Arkansas,5003,11,0
Baxter,Arkansas,5005,5,0
Benton,Arkansas,5007,62,0
Boone,Arkansas,5009,3,0
Bradley,Arkansas,5011,7,0
Carroll,Arkansas,5015,2,0
