FIPStxt,Stabr,Area_name,Median_Income
1001,AL,Autauga County,"59,338"
1003,AL,Baldwin County,"57,588"
1005,AL,Barbour County,"34,382"
1007,AL,Bibb County,"46,064"
1009,AL,Blount County,"50,412"
1011,AL,Bullock County,"29,267"
1013,AL,Butler County,"37,365"
1015,AL,Calhoun County,"45,400"
1017,AL,Chambers County,"39,917"
1019,AL,Cherokee County,"42,132"
1021,AL,Chilton County,"47,547"
1023,AL,Choctaw County,"39,907"
1025,AL,Clarke County,"40,741"
1027,AL,Clay County,"39,201"
1029,AL,Cleburne County,"46,495"
1031,AL,Coffee County,"55,122"
1033,AL,Colbert County,"49,055"
1035,AL,Conecuh County,"32,613"
1037,AL,Coosa County,"42,423"
1039,AL,Covington County,"40,203"
1041,AL,Crenshaw County,"39,057"
1043,AL,Cullman County,"45,796"
1045,AL,Dale County,"45,309"
1047,AL,Dallas County,"34,035"
1049,AL,DeKalb County,"39,491"
1051,AL,Elmore County,"60,367"
1053,AL,Escambia County,"38,418"
1055,AL,Etowah County,"44,903"
1057,AL,Fayette County,"39,254"
1059,AL,Franklin County,"39,388"
1061,AL,Geneva County,"37,823"
1063,AL,Greene County,"28,524"
1065,AL,Hale County,"34,724"
1067,AL,Henry County,"46,027"
1069,AL,Houston County,"47,993"
1071,AL,Jackson County,"41,929"
1073,AL,Jefferson County,"55,013"
1075,AL,Lamar County,"40,936"
1077,AL,Lauderdale County,"48,707"
1079,AL,Lawrence County,"43,909"
1081,AL,Lee County,"48,937"
1083,AL,Limestone County,"64,863"
1085,AL,Lowndes County,"33,973"
1087,AL,Macon County,"32,495"
1089,AL,Madison County,"63,755"
1091,AL,Marengo County,"37,733"
1093,AL,Marion County,"37,887"
1095,AL,Marshall County,"46,233"
1097,AL,Mobile County,"43,598"
1099,AL,Monroe County,"39,556"
1101,AL,Montgomery County,"49,640"
1103,AL,Morgan County,"52,797"
1105,AL,Perry County,"26,814"
1107,AL,Pickens County,"37,586"
