FIPStxt,Stabr,Area_name,"Poverty, total","Poverty, %"
1001,AL,Autauga County,"7,587",13.8
1003,AL,Baldwin County,"21,069",9.8
1005,AL,Barbour County,"6,788",30.9
1007,AL,Bibb County,"4,400",21.8
1009,AL,Blount County,"7,527",13.2
1011,AL,Bullock County,"3,610",42.5
1013,AL,Butler County,"4,731",24.5
1015,AL,Calhoun County,"21,719",19.5
1017,AL,Chambers County,"6,181",18.7
1019,AL,Cherokee County,"4,180",16.3
1021,AL,Chilton County,"7,542",17.3
1023,AL,Choctaw County,"2,806",22.1
1025,AL,Clarke County,"5,381",22.8
1027,AL,Clay County,"2,285",17.6
1029,AL,Cleburne County,"2,356",16
1031,AL,Coffee County,"7,053",13.8
1033,AL,Colbert County,"7,459",13.8
1035,AL,Conecuh County,"2,979",24.4
1037,AL,Coosa County,"1,973",18.9
1039,AL,Covington County,"7,239",19.9
1041,AL,Crenshaw County,"2,661",19.5
1043,AL,Cullman County,"11,925",14.5
1045,AL,Dale County,"7,743",16.2
1047,AL,Dallas County,"11,841",31.4
1049,AL,DeKalb County,"14,975",21.3
1051,AL,Elmore County,"8,559",11.2
1053,AL,Escambia County,"8,022",23.6
1055,AL,Etowah County,"17,509",17.5
1057,AL,Fayette County,"3,801",23.5
1059,AL,Franklin County,"5,939",19.2
1061,AL,Geneva County,"5,537",21.3
1063,AL,Greene County,"2,459",30.1
1065,AL,Hale County,"3,705",25.6
1067,AL,Henry County,"3,037",17.9
1069,AL,Houston County,"17,032",16.5
1071,AL,Jackson County,"10,046",19.7
1073,AL,Jefferson County,"103,604",16.1
1075,AL,Lamar County,"2,374",17.4
1077,AL,Lauderdale County,"12,645",14
1079,AL,Lawrence County,"6,297",19.3
1081,AL,Lee County,"30,075",19
1083,AL,Limestone County,"10,633",11.4
1085,AL,Lowndes County,"2,474",25.1
1087,AL,Macon County,"5,031",30.2
1089,AL,Madison County,"42,667",11.9
1091,AL,Marengo County,"4,499",24
1093,AL,Marion County,"5,844",20.2
1095,AL,Marshall County,"17,341",18.3
1097,AL,Mobile County,"84,539",20.8
1099,AL,Monroe County,"4,560",21.9
1101,AL,Montgomery County,"43,567",20.1
1103,AL,Morgan County,"15,419",13.2
1105,AL,Perry County,"2,943",35.3
1107,AL,Pickens County,"4,177",23.1
1109,AL,Pike County,"7,315",23.6
1111,AL,Randolph County,"4,375",19.7
1113,AL,Russell County,"12,384",21.7
1115,AL,St. Clair County,"10,432",12
1117,AL,Shelby County,"16,916",8
1119,AL,Sumter County,"4,076",34.7
1121,AL,Talladega County,"14,825",19.3
1123,AL,Tallapoosa County,"7,839",19.7
1125,AL,Tuscaloosa County,"33,330",16.8
1127,AL,Walker County,"11,231",17.9
1129,AL,Washington County,"2,846",17.6
1131,AL,Wilcox County,"3,504",33.4
1133,AL,Winston County,"4,338",18.6
4001,AZ,Apache County,"26,435",37.3
4003,AZ,Cochise County,"18,273",15.1
4005,AZ,Coconino County,"20,964",15.9
4007,AZ,Gila County,"10,804",20.4
4009,AZ,Graham County,"7,118",20.2
4011,AZ,Greenlee County,985,10.5
4012,AZ,La Paz County,"4,921",23.7
4013,AZ,Maricopa County,"535,183",12.3
4015,AZ,Mohave County,"34,411",16.8
4017,AZ,Navajo County,"30,876",28.5
4019,AZ,Pima County,"164,927",16.2
4021,AZ,Pinal County,"54,399",12.9
4023,AZ,Santa Cruz County,"11,287",24.4
4025,AZ,Yavapai County,"30,060",13.2
4027,AZ,Yuma County,"39,648",19.5
5001,AR,Arkansas County,"3,120",17.9
5003,AR,Ashley County,"3,876",19.6
5005,AR,Baxter County,"6,216",15.1
5007,AR,Benton County,"23,290",8.6
5009,AR,Boone County,"5,472",14.8
5011,AR,Bradley County,"2,329",21.7
5013,AR,Calhoun County,800,15.7
5015,AR,Carroll County,"4,499",16.1
5017,AR,Chicot County,"3,039",31.4
5019,AR,Clark County,"3,838",19.9
5021,AR,Clay County,"3,035",20.7
5023,AR,Cleburne County,"3,573",14.6
5025,AR,Cleveland County,"1,232",15.5
5027,AR,Columbia County,"4,799",22.4
5029,AR,Conway County,"3,693",17.9
5031,AR,Craighead County,"18,768",17.9
5033,AR,Crawford County,"10,027",16
5035,AR,Crittenden County,"9,056",19.2
5037,AR,Cross County,"2,940",18
5039,AR,Dallas County,"1,442",21.3
5041,AR,Desha County,"2,780",24.3
5043,AR,Drew County,"3,391",19.5
5045,AR,Faulkner County,"18,571",15.4
5047,AR,Franklin County,"3,202",18.3
5049,AR,Fulton County,"2,481",20.6
5051,AR,Garland County,"19,844",20.4
5053,AR,Grant County,"2,353",13.1
5055,AR,Greene County,"7,361",16.5
5057,AR,Hempstead County,"4,424",20.6
5059,AR,Hot Spring County,"5,844",18.7
5061,AR,Howard County,"2,271",17.3
5063,AR,Independence County,"5,302",14.5
5065,AR,Izard County,"2,358",18.7
5067,AR,Jackson County,"3,732",25.6
5069,AR,Jefferson County,"13,900",22.2
5071,AR,Johnson County,"5,761",22.2
5073,AR,Lafayette County,"1,498",22.8
5075,AR,Lawrence County,"2,776",17.7
5077,AR,Lee County,"3,098",43
5079,AR,Lincoln County,"2,647",27.5
5081,AR,Little River County,"1,942",16
5083,AR,Logan County,"3,950",18.6
5085,AR,Lonoke County,"8,651",11.9
5087,AR,Madison County,"3,002",18.4
5089,AR,Marion County,"3,082",18.7
5091,AR,Miller County,"9,228",21.9
5093,AR,Mississippi County,"10,325",25.7
5095,AR,Monroe County,"1,769",26
5097,AR,Montgomery County,"1,649",18.8
5099,AR,Nevada County,"1,738",21.3
5101,AR,Newton County,"1,340",17.4
5103,AR,Ouachita County,"5,410",23.3
5105,AR,Perry County,"1,502",14.7
5107,AR,Phillips County,"6,301",35.4
5109,AR,Pike County,"1,856",17.8
5111,AR,Poinsett County,"5,592",23.7
5113,AR,Polk County,"3,962",20
5115,AR,Pope County,"9,647",16
5117,AR,Prairie County,"1,254",15.8
5119,AR,Pulaski County,"64,312",16.7
5121,AR,Randolph County,"3,050",17.4
5123,AR,St. Francis County,"7,586",35.6
