state,county,fips,over 70,Rank,Scale
Alabama,Autauga,1001,10.90627866,763,3
Alabama,Baldwin,1003,13.89951473,1967,7
Alabama,Barbour,1005,13.23097946,1677,6
Alabama,Bibb,1007,11.19642857,851,3
Alabama,Blount,1009,12.56224066,1428,5
Alabama,Bullock,1011,11.04754389,801,3
Alabama,Butler,1013,13.98882114,2002,7
Alabama,Calhoun,1015,11.7941493,1079,4
Alabama,Chambers,1017,13.35415737,1732,6
Alabama,Cherokee,1019,15.81899201,2538,9
Alabama,Chilton,1021,11.18383802,845,3
Alabama,Choctaw,1023,16.26041585,2616,9
Alabama,Clarke,1025,14.28511706,2105,7
Alabama,Clay,1027,14.30508475,2114,7
Alabama,Cleburne,1029,13.39160606,1749,6
Alabama,Coffee,1031,11.67812903,1025,4
Alabama,Colbert,1033,13.6901501,1861,6
Alabama,Conecuh,1035,16.21731693,2604,9
Alabama,Coosa,1037,15.82827811,2543,9
Alabama,Covington,1039,14.9083437,2299,8
Alabama,Crenshaw,1041,12.8978588,1547,5
Alabama,Cullman,1043,12.67227535,1469,5
Alabama,Dale,1045,11.57570063,995,4
Alabama,Dallas,1047,12.06473506,1197,4
Alabama,DeKalb,1049,11.61588569,1003,4
Alabama,Elmore,1051,10.12004348,528,2
Alabama,Escambia,1053,12.39523239,1354,5
Alabama,Etowah,1055,12.74426591,1499,5
Alabama,Fayette,1057,14.49522303,2174,7
Alabama,Franklin,1059,11.65385964,1017,4
Alabama,Geneva,1061,13.93174736,1982,7
Alabama,Greene,1063,14.53905016,2198,8
Alabama,Hale,1065,12.94309385,1569,6
Alabama,Henry,1067,15.22459178,2387,8
Alabama,Houston,1069,12.13021142,1229,4
Alabama,Jackson,1071,13.73704964,1889,7
Alabama,Jefferson,1073,10.39799788,603,2
Alabama,Lamar,1075,15.53019358,2472,8
Alabama,Lauderdale,1077,13.87316397,1954,7
Alabama,Lawrence,1079,12.71353582,1486,5
Alabama,Lee,1081,7.704601045,112,1
Alabama,Limestone,1083,10.15139227,536,2
Alabama,Lowndes,1085,13.04391418,1612,6
Alabama,Macon,1087,13.30332448,1712,6
Alabama,Madison,1089,10.20274529,553,2
Alabama,Marengo,1091,13.6840449,1856,6
Alabama,Marion,1093,15.06232571,2338,8
Alabama,Marshall,1095,11.74499787,1055,4
Alabama,Mobile,1097,10.79715872,732,3
Alabama,Monroe,1099,13.97446243,1999,7
Alabama,Montgomery,1101,9.945828148,484,2
Alabama,Morgan,1103,11.86087716,1110,4
Alabama,Perry,1105,13.97155361,1996,7
Alabama,Pickens,1107,12.95014545,1571,6
Alabama,Pike,1109,10.45353651,618,2
Alabama,Randolph,1111,14.00220022,2010,7
Alabama,Russell,1113,9.465049065,392,2
Alabama,Shelby,1117,10.00941091,505,2
Alabama,St. Clair,1115,11.05085128,802,3
Alabama,Sumter,1119,11.94547317,1145,4
Alabama,Talladega,1121,12.0246029,1177,4
Alabama,Tallapoosa,1123,14.53440996,2196,8
Alabama,Tuscaloosa,1125,8.52659745,224,1
Alabama,Walker,1127,13.1358792,1642,6
Alabama,Washington,1129,12.98082794,1586,6
Alabama,Wilcox,1131,13.25868072,1685,6
Alabama,Winston,1133,15.12679628,2358,8
Arizona,Apache,4001,10.22167145,559,2
Arizona,Cochise,4003,15.55651968,2477,8
Arizona,Coconino,4005,7.798871576,127,1
Arizona,Gila,4007,20.09501011,3006,10
Arizona,Graham,4009,9.608110948,415,2
Arizona,Greenlee,4011,8.847411157,273,1
Arizona,La Paz,4012,31.30628496,3108,10
Arizona,Maricopa,4013,10.39531389,602,2
Arizona,Mohave,4015,21.49844906,3055,10
Arizona,Navajo,4017,12.04309838,1190,4
Arizona,Pima,4019,13.74003559,1894,7
Arizona,Pinal,4021,14.07619124,2044,7
Arizona,Santa Cruz,4023,12.49381867,1394,5
Arizona,Yavapai,4025,21.5049592,3056,10
Arizona,Yuma,4027,14.19284583,2081,7
Arkansas,Arkansas,5001,13.30406888,1713,6
Arkansas,Ashley,5003,14.06265589,2040,7
Arkansas,Baxter,5005,22.63149043,3076,10
Arkansas,Benton,5007,9.14536624,320,2
Arkansas,Boone,5009,14.57844184,2207,8
Arkansas,Bradley,5011,13.2788841,1697,6
Arkansas,Calhoun,5013,14.42107258,2160,7
Arkansas,Carroll,5015,15.4271339,2447,8
Arkansas,Chicot,5017,14.04483618,2032,7
Arkansas,Clark,5019,11.699379,1032,4
Arkansas,Clay,5021,15.50481579,2468,8
Arkansas,Cleburne,5023,19.63949529,2975,10
Arkansas,Cleveland,5025,14.38014468,2146,7
Arkansas,Columbia,5027,12.24455113,1285,5
Arkansas,Conway,5029,13.83849505,1937,7
Arkansas,Craighead,5031,9.354446471,366,2
Arkansas,Crawford,5033,11.32858089,897,3
Arkansas,Crittenden,5035,9.395556659,380,2
Arkansas,Cross,5037,13.18061885,1659,6
Arkansas,Dallas,5039,16.26287942,2618,9
Arkansas,Desha,5041,12.7866574,1509,5
Arkansas,Drew,5043,12.23810563,1281,5
Arkansas,Faulkner,5045,8.256814576,183,1
Arkansas,Franklin,5047,13.45311623,1784,6
Arkansas,Fulton,5049,18.39595729,2888,10
Arkansas,Garland,5051,16.59842266,2679,9
Arkansas,Grant,5053,12.50274907,1400,5
Arkansas,Greene,5055,10.86376172,751,3
Arkansas,Hempstead,5057,12.63511338,1455,5
Arkansas,Hot Spring,5059,12.74146168,1497,5
Arkansas,Howard,5061,12.68270744,1476,5
Arkansas,Independence,5063,12.19013748,1257,5
Arkansas,Izard,5065,18.56838078,2905,10
Arkansas,Jackson,5067,12.39664505,1356,5
Arkansas,Jefferson,5069,11.50424289,976,4
Arkansas,Johnson,5071,11.33797023,906,3
Arkansas,Lafayette,5073,17.65938342,2810,10
Arkansas,Lawrence,5075,14.37872703,2144,7
Arkansas,Lee,5077,13.90094602,1968,7
Arkansas,Lincoln,5079,10.73003064,713,3
Arkansas,Little River,5081,14.43290605,2164,7
Arkansas,Logan,5083,13.63113585,1843,6
Arkansas,Lonoke,5085,8.889854325,279,1
Arkansas,Madison,5087,12.6327286,1454,5
Arkansas,Marion,5089,19.1065662,2946,10
Arkansas,Miller,5091,11.53652046,987,4
Arkansas,Mississippi,5093,9.79170203,456,2
Arkansas,Monroe,5095,15.79710145,2530,9
Arkansas,Montgomery,5097,19.32989691,2957,10
Arkansas,Nevada,5099,14.36464088,2137,7
Arkansas,Newton,5101,18.09096733,2862,10
Arkansas,Ouachita,5103,13.50504109,1809,6
Arkansas,Perry,5105,13.77511592,1909,7
Arkansas,Phillips,5107,12.59082589,1441,5
Arkansas,Pike,5109,13.77307224,1908,7
Arkansas,Poinsett,5111,12.38007842,1347,5
Arkansas,Polk,5113,15.92598135,2563,9
Arkansas,Pope,5115,10.9375,770,3
Arkansas,Prairie,5117,17.4386921,2786,9
Arkansas,Pulaski,5119,10.13904452,534,2
Arkansas,Randolph,5121,13.99598841,2006,7
Arkansas,Saline,5125,12.23758658,1279,5
Arkansas,Scott,5127,14.60412831,2213,8
Arkansas,Searcy,5129,17.60492586,2805,10
Arkansas,Sebastian,5131,10.827143,738,3
Arkansas,Sevier,5133,9.913063773,476,2
Arkansas,Sharp,5135,18.66290453,2912,10
Arkansas,St. Francis,5123,10.66079642,690,3
Arkansas,Stone,5137,19.73990527,2983,10
Arkansas,Union,5139,12.06614527,1200,4
Arkansas,Van Buren,5141,18.73757755,2918,10
Arkansas,Washington,5143,7.796641641,126,1
Arkansas,White,5145,11.36458902,918,3
Arkansas,Woodruff,5147,15.50077042,2466,8
Arkansas,Yell,5149,12.2962619,1311,5
California,Alameda,6001,9.139626568,317,2
California,Alpine,6003,14.98637602,2318,8
California,Amador,6005,18.13218902,2866,10
California,Butte,6007,12.38627322,1350,5
California,Calaveras,6009,18.4882242,2898,10
California,Colusa,6011,9.88116706,467,2
California,Contra Costa,6013,10.63122981,680,3
California,Del Norte,6015,11.72919362,1045,4
California,El Dorado,6017,13.73991756,1893,7
California,Fresno,6019,8.190265487,176,1
California,Glenn,6021,10.79972903,733,3
California,Humboldt,6023,11.23242871,871,3
California,Imperial,6025,8.935966606,283,1
California,Inyo,6027,16.0893979,2586,9
California,Kern,6029,7.194200481,73,1
California,Kings,6031,6.89058309,52,1
California,Lake,6033,15.05389705,2336,8
California,Lassen,6035,9.850009739,463,2
California,Los Angeles,6037,9.191067692,330,2
California,Los Angeles,6037,9.191067692,330,2
California,Madera,6039,9.213430412,338,2
California,Marin,6041,15.35896113,2425,8
California,Mariposa,6043,19.07160437,2943,10
California,Mendocino,6045,14.27870237,2102,7
California,Merced,6047,7.542081415,100,1
California,Modoc,6049,18.27503703,2880,10
California,Mono,6051,9.501754386,397,2
California,Monterey,6053,9.054762003,301,1
California,Napa,6055,13.11604754,1634,6
California,Nevada,6057,18.03984112,2855,10
California,Orange,6059,10.1091097,522,2
California,Placer,6061,13.61824652,1837,6
California,Plumas,6063,18.49606466,2901,10
California,Riverside,6065,9.955572928,486,2
California,Sacramento,6067,9.356154382,368,2
California,San Benito,6069,8.401449535,203,1
California,San Bernardino,6071,7.50035803,96,1
California,San Diego,6073,9.45436991,388,2
California,San Francisco,6075,10.63154856,682,3
California,San Joaquin,6077,8.487364813,216,1
California,San Luis Obispo,6079,13.36044505,1735,6
California,San Mateo,6081,10.98402303,783,3
California,Santa Barbara,6083,10.61122844,674,3
California,Santa Clara,6085,9.237137238,344,2
California,Santa Cruz,6087,10.32105158,586,2
California,Shasta,6089,14.14463453,2063,7
California,Sierra,6091,20.02008704,3000,10
California,Siskiyou,6093,16.81227701,2706,9
California,Solano,6095,10.29264907,579,2
California,Sonoma,6097,12.97750539,1584,6
California,Stanislaus,6099,8.81896638,268,1
California,Sutter,6101,10.852521,747,3
California,Tehama,6103,13.33468928,1724,6
California,Trinity,6105,17.423215,2784,9
