County,State,FIPS,Apr11_Cases,Apr11_Deaths,Cases_rank,Cases_scale,Deaths_rank,Deaths_scale
Autauga,Alabama,1001,19,1,1577,7,1619,7
Baldwin,Alabama,1003,66,1,2077,8,1619,7
Barbour,Alabama,1005,10,0,1204,5,1,1
Bibb,Alabama,1007,13,0,1369,6,1,1
Blount,Alabama,1009,12,0,1319,6,1,1
Bullock,Alabama,1011,4,0,662,3,1,1
Butler,Alabama,1013,6,0,888,4,1,1
Calhoun,Alabama,1015,57,0,2037,8,1,1
Chambers,Alabama,1017,184,8,2340,9,2383,10
Cherokee,Alabama,1019,7,0,1000,4,1,1
Chilton,Alabama,1021,30,0,1790,7,1,1
Choctaw,Alabama,1023,9,0,1147,5,1,1
Clarke,Alabama,1025,15,0,1460,6,1,1
Clay,Alabama,1027,12,0,1319,6,1,1
Cleburne,Alabama,1029,12,0,1319,6,1,1
Coffee,Alabama,1031,20,0,1599,7,1,1
Colbert,Alabama,1033,8,1,1074,5,1619,7
Conecuh,Alabama,1035,3,0,483,2,1,1
Coosa,Alabama,1037,11,0,1268,5,1,1
Covington,Alabama,1039,11,0,1268,5,1,1
Crenshaw,Alabama,1041,2,0,291,2,1,1
Cullman,Alabama,1043,31,1,1807,7,1619,7
Dale,Alabama,1045,6,0,888,4,1,1
Dallas,Alabama,1047,10,0,1204,5,1,1
DeKalb,Alabama,1049,21,0,1621,7,1,1
Elmore,Alabama,1051,30,0,1790,7,1,1
Escambia,Alabama,1053,8,0,1074,5,1,1
Etowah,Alabama,1055,74,7,2122,9,2352,9
Fayette,Alabama,1057,3,0,483,2,1,1
Franklin,Alabama,1059,8,0,1074,5,1,1
Greene,Alabama,1063,14,0,1418,6,1,1
Hale,Alabama,1065,11,0,1268,5,1,1
Henry,Alabama,1067,10,0,1204,5,1,1
Houston,Alabama,1069,37,1,1889,8,1619,7
Jackson,Alabama,1071,22,2,1652,7,1990,8
Jefferson,Alabama,1073,579,15,2499,10,2466,10
Lamar,Alabama,1075,7,0,1000,4,1,1
Lauderdale,Alabama,1077,21,4,1621,7,2247,9
Lawrence,Alabama,1079,8,0,1074,5,1,1
Lee,Alabama,1081,221,8,2377,10,2383,10
Limestone,Alabama,1083,36,0,1880,8,1,1
Lowndes,Alabama,1085,14,0,1418,6,1,1
Macon,Alabama,1087,12,1,1319,6,1619,7
Madison,Alabama,1089,186,3,2343,9,2157,9
Marengo,Alabama,1091,19,1,1577,7,1619,7
Marion,Alabama,1093,42,3,1942,8,2157,9
Marshall,Alabama,1095,84,2,2168,9,1990,8
Mobile,Alabama,1097,429,15,2472,10,2466,10
Monroe,Alabama,1099,6,1,888,4,1619,7
Montgomery,Alabama,1101,106,4,2226,9,2247,9
Morgan,Alabama,1103,37,0,1889,8,1,1
Perry,Alabama,1105,4,0,662,3,1,1
Pickens,Alabama,1107,21,0,1621,7,1,1
Pike,Alabama,1109,18,0,1550,6,1,1
Randolph,Alabama,1111,27,4,1745,7,2247,9
Russell,Alabama,1113,22,0,1652,7,1,1
St. Clair,Alabama,1115,39,0,1919,8,1,1
Shelby,Alabama,1117,196,5,2357,10,2293,9
Sumter,Alabama,1119,19,0,1577,7,1,1
Talladega,Alabama,1121,32,0,1828,7,1,1
Tallapoosa,Alabama,1123,62,4,2062,8,2247,9
Tuscaloosa,Alabama,1125,100,0,2210,9,1,1
Walker,Alabama,1127,78,0,2139,9,1,1
Washington,Alabama,1129,12,1,1319,6,1619,7
Wilcox,Alabama,1131,25,0,1707,7,1,1
Winston,Alabama,1133,4,0,662,3,1,1
Apache,Arizona,4001,66,3,2077,8,2157,9
Cochise,Arizona,4003,13,0,1369,6,1,1
Coconino,Arizona,4005,238,15,2392,10,2466,10
Gila,Arizona,4007,3,0,483,2,1,1
Graham,Arizona,4009,2,0,291,2,1,1
Greenlee,Arizona,4011,2,0,291,2,1,1
La Paz,Arizona,4012,4,0,662,3,1,1
Maricopa,Arizona,4013,1891,47,2579,10,2564,10
Mohave,Arizona,4015,30,2,1790,7,1990,8
Navajo,Arizona,4017,321,7,2436,10,2352,9
Pima,Arizona,4019,591,29,2502,10,2538,10
Pinal,Arizona,4021,146,3,2300,9,2157,9
Santa Cruz,Arizona,4023,8,0,1074,5,1,1
Yavapai,Arizona,4025,63,1,2067,8,1619,7
Yuma,Arizona,4027,15,0,1460,6,1,1
Arkansas,Arkansas,5001,2,0,291,2,1,1
Ashley,Arkansas,5003,10,0,1204,5,1,1
Baxter,Arkansas,5005,4,0,662,3,1,1
Benton,Arkansas,5007,47,0,1977,8,1,1
Boone,Arkansas,5009,3,0,483,2,1,1
Bradley,Arkansas,5011,6,0,888,4,1,1
Carroll,Arkansas,5015,2,0,291,2,1,1
Chicot,Arkansas,5017,5,0,798,4,1,1
Clark,Arkansas,5019,27,0,1745,7,1,1
Clay,Arkansas,5021,1,0,1,1,1,1
Cleburne,Arkansas,5023,69,4,2099,9,2247,9
Cleveland,Arkansas,5025,8,0,1074,5,1,1
Columbia,Arkansas,5027,3,0,483,2,1,1
Conway,Arkansas,5029,4,1,662,3,1619,7
Craighead,Arkansas,5031,31,0,1807,7,1,1
Crawford,Arkansas,5033,3,0,483,2,1,1
Crittenden,Arkansas,5035,89,2,2183,9,1990,8
Cross,Arkansas,5037,6,0,888,4,1,1
Dallas,Arkansas,5039,1,0,1,1,1,1
Desha,Arkansas,5041,6,0,888,4,1,1
Drew,Arkansas,5043,6,1,888,4,1619,7
Faulkner,Arkansas,5045,57,1,2037,8,1619,7
Franklin,Arkansas,5047,1,0,1,1,1,1
Garland,Arkansas,5051,72,0,2115,9,1,1
Grant,Arkansas,5053,9,0,1147,5,1,1
Greene,Arkansas,5055,6,0,888,4,1,1
Hempstead,Arkansas,5057,4,1,662,3,1619,7
Hot Spring,Arkansas,5059,8,0,1074,5,1,1
Howard,Arkansas,5061,6,0,888,4,1,1
Independence,Arkansas,5063,5,0,798,4,1,1
Izard,Arkansas,5065,1,0,1,1,1,1
Jefferson,Arkansas,5069,91,2,2188,9,1990,8
Johnson,Arkansas,5071,13,0,1369,6,1,1
Lafayette,Arkansas,5073,2,0,291,2,1,1
Lawrence,Arkansas,5075,10,1,1204,5,1619,7
Lee,Arkansas,5077,2,0,291,2,1,1
Lincoln,Arkansas,5079,10,0,1204,5,1,1
Logan,Arkansas,5083,2,0,291,2,1,1
Lonoke,Arkansas,5085,27,0,1745,7,1,1
