County ,State,FIPS,Apr18_Cases,Apri18_Deaths,Apr18_cases_ranked,Apr_18_cases_scaled,Apr18_deaths_ranked,Apr_18_deaths_scaled
Autauga,Alabama,1001,25,2,1621,6,1910,8
Baldwin,Alabama,1003,109,2,2226,9,1910,8
Barbour,Alabama,1005,18,0,1431,6,1,1
Bibb,Alabama,1007,26,0,1643,7,1,1
Blount,Alabama,1009,20,0,1487,6,1,1
Bullock,Alabama,1011,9,0,1045,4,1,1
Butler,Alabama,1013,13,0,1242,5,1,1
Calhoun,Alabama,1015,66,2,2053,8,1910,8
Chambers,Alabama,1017,240,11,2424,9,2451,10
Cherokee,Alabama,1019,12,0,1188,5,1,1
Chilton,Alabama,1021,39,0,1833,7,1,1
Choctaw,Alabama,1023,14,0,1289,5,1,1
Clarke,Alabama,1025,24,0,1604,6,1,1
Clay,Alabama,1027,17,0,1397,6,1,1
Cleburne,Alabama,1029,12,0,1188,5,1,1
Coffee,Alabama,1031,56,0,1996,8,1,1
Colbert,Alabama,1033,15,1,1325,5,1519,6
Conecuh,Alabama,1035,10,0,1096,5,1,1
Coosa,Alabama,1037,22,1,1548,6,1519,6
Covington,Alabama,1039,21,1,1518,6,1519,6
Crenshaw,Alabama,1041,6,0,808,3,1,1
Cullman,Alabama,1043,42,0,1867,7,1,1
Dale,Alabama,1045,17,0,1397,6,1,1
Dallas,Alabama,1047,22,2,1548,6,1910,8
DeKalb,Alabama,1049,40,2,1846,7,1910,8
Elmore,Alabama,1051,58,1,2007,8,1519,6
Escambia,Alabama,1053,12,0,1188,5,1,1
Etowah,Alabama,1055,93,7,2176,9,2358,9
Fayette,Alabama,1057,4,0,572,3,1,1
Franklin,Alabama,1059,17,0,1397,6,1,1
Geneva,Alabama,1061,4,0,572,3,1,1
Greene,Alabama,1063,29,0,1697,7,1,1
Hale,Alabama,1065,23,1,1574,6,1519,6
Henry,Alabama,1067,17,0,1397,6,1,1
Houston,Alabama,1069,63,2,2037,8,1910,8
Jackson,Alabama,1071,38,2,1824,7,1910,8
Jefferson,Alabama,1073,673,25,2583,10,2569,10
Lamar,Alabama,1075,8,0,977,4,1,1
Lauderdale,Alabama,1077,23,4,1574,6,2190,9
Lawrence,Alabama,1079,9,0,1045,4,1,1
Lee,Alabama,1081,306,14,2468,10,2493,10
Limestone,Alabama,1083,40,0,1846,7,1,1
Lowndes,Alabama,1085,27,0,1660,7,1,1
Macon,Alabama,1087,24,2,1604,6,1910,8
Madison,Alabama,1089,197,4,2386,9,2190,9
Marengo,Alabama,1091,25,1,1621,6,1519,6
Marion,Alabama,1093,60,5,2020,8,2261,9
Marshall,Alabama,1095,139,4,2300,9,2190,9
Mobile,Alabama,1097,638,25,2581,10,2569,10
Monroe,Alabama,1099,8,0,977,4,1,1
Montgomery,Alabama,1101,217,3,2401,9,2098,8
Morgan,Alabama,1103,45,0,1903,8,1,1
Perry,Alabama,1105,9,0,1045,4,1,1
Pickens,Alabama,1107,33,0,1757,7,1,1
Pike,Alabama,1109,34,0,1772,7,1,1
Randolph,Alabama,1111,51,3,1957,8,2098,8
Russell,Alabama,1113,42,0,1867,7,1,1
St. Clair,Alabama,1115,53,0,1974,8,1,1
Shelby,Alabama,1117,257,7,2431,9,2358,9
Sumter,Alabama,1119,35,0,1786,7,1,1
Talladega,Alabama,1121,44,1,1896,7,1519,6
Tallapoosa,Alabama,1123,180,11,2365,9,2451,10
Tuscaloosa,Alabama,1125,141,0,2304,9,1,1
Walker,Alabama,1127,83,0,2134,8,1,1
Washington,Alabama,1129,15,1,1325,5,1519,6
Wilcox,Alabama,1131,45,0,1903,8,1,1
Winston,Alabama,1133,9,0,1045,4,1,1
Apache,Arizona,4001,169,4,2348,9,2190,9
Cochise,Arizona,4003,22,0,1548,6,1,1
Coconino,Arizona,4005,314,29,2478,10,2584,10
Gila,Arizona,4007,7,0,898,4,1,1
Graham,Arizona,4009,2,0,250,1,1,1
Greenlee,Arizona,4011,2,0,250,1,1,1
La Paz,Arizona,4012,5,1,704,3,1519,6
Maricopa,Arizona,4013,2491,70,2671,10,2648,10
Mohave,Arizona,4015,52,2,1966,8,1910,8
Navajo,Arizona,4017,452,11,2535,10,2451,10
