state,county, TOT_MALE,TOT_FEMALE,%  TOT_MALE,% TOT_FEMALE,fips,maleness_ranked,maleness_scaled
Alabama,Autauga,26995,28606,48.55128505,51.44871495,1001,475,2
Alabama,Baldwin,105657,112365,48.46162314,51.53837686,1003,430,2
Alabama,Barbour,13133,11748,52.78324826,47.21675174,1005,2874,10
Alabama,Bibb,11921,10479,53.21875,46.78125,1007,2908,10
Alabama,Blount,28500,29340,49.27385892,50.72614108,1009,1070,4
Alabama,Bullock,5527,4611,54.51765634,45.48234366,1011,2985,10
Alabama,Butler,9165,10515,46.57012195,53.42987805,1013,29,1
Alabama,Calhoun,54914,59363,48.05341407,51.94658593,1015,223,1
Alabama,Chambers,16093,17522,47.87446081,52.12553919,1017,178,1
Alabama,Cherokee,12896,13136,49.53902889,50.46097111,1019,1396,5
Alabama,Chilton,21668,22485,49.07480805,50.92519195,1021,866,3
Alabama,Choctaw,6070,6771,47.2704618,52.7295382,1023,79,1
Alabama,Clarke,11328,12592,47.35785953,52.64214047,1025,93,1
Alabama,Clay,6492,6783,48.9039548,51.0960452,1027,722,3
Alabama,Cleburne,7421,7566,49.51624741,50.48375259,1029,1354,5
Alabama,Coffee,25521,26388,49.1648847,50.8351153,1031,951,4
Alabama,Colbert,26259,28503,47.951134,52.048866,1033,199,1
Alabama,Conecuh,5881,6396,47.90258206,52.09741794,1035,185,1
Alabama,Coosa,5399,5316,50.38730751,49.61269249,1037,2216,8
Alabama,Covington,17896,19090,48.38587574,51.61412426,1039,383,2
Alabama,Crenshaw,6674,7150,48.27835648,51.72164352,1041,326,2
Alabama,Cullman,41245,42197,49.42954387,50.57045613,1043,1251,5
Alabama,Dale,24023,24933,49.070594,50.929406,1045,863,3
Alabama,Dallas,17685,20625,46.16288175,53.83711825,1047,18,1
Alabama,DeKalb,35428,35957,49.62947398,50.37052602,1049,1499,5
Alabama,Elmore,39585,42302,48.34100651,51.65899349,1051,364,2
