FIPStxt,Stabr,Area_name,Median_Income,Income_ranked,Income_scaled
1001,AL,Autauga County,"59,338",2380,8
1003,AL,Baldwin County,"57,588",2262,8
1005,AL,Barbour County,"34,382",124,1
1007,AL,Bibb County,"46,064",1033,4
1009,AL,Blount County,"50,412",1542,5
1011,AL,Bullock County,"29,267",24,1
1013,AL,Butler County,"37,365",258,1
1015,AL,Calhoun County,"45,400",965,4
1017,AL,Chambers County,"39,917",456,2
1019,AL,Cherokee County,"42,132",626,3
1021,AL,Chilton County,"47,547",1211,4
1023,AL,Choctaw County,"39,907",455,2
1025,AL,Clarke County,"40,741",518,2
1027,AL,Clay County,"39,201",393,2
1029,AL,Cleburne County,"46,495",1082,4
1031,AL,Coffee County,"55,122",2043,7
1033,AL,Colbert County,"49,055",1398,5
1035,AL,Conecuh County,"32,613",64,1
1037,AL,Coosa County,"42,423",651,3
1039,AL,Covington County,"40,203",475,2
1041,AL,Crenshaw County,"39,057",382,2
1043,AL,Cullman County,"45,796",1007,4
1045,AL,Dale County,"45,309",953,4
1047,AL,Dallas County,"34,035",111,1
1049,AL,DeKalb County,"39,491",418,2
1051,AL,Elmore County,"60,367",2457,8
1053,AL,Escambia County,"38,418",340,2
1055,AL,Etowah County,"44,903",913,3
1057,AL,Fayette County,"39,254",397,2
1059,AL,Franklin County,"39,388",405,2
1061,AL,Geneva County,"37,823",294,1
1063,AL,Greene County,"28,524",16,1
1065,AL,Hale County,"34,724",129,1
1067,AL,Henry County,"46,027",1027,4
1069,AL,Houston County,"47,993",1263,5
1071,AL,Jackson County,"41,929",608,2
1073,AL,Jefferson County,"55,013",2037,7
1075,AL,Lamar County,"40,936",531,2
1077,AL,Lauderdale County,"48,707",1352,5
1079,AL,Lawrence County,"43,909",808,3
1081,AL,Lee County,"48,937",1386,5
1083,AL,Limestone County,"64,863",2672,9
1085,AL,Lowndes County,"33,973",102,1
1087,AL,Macon County,"32,495",62,1
1089,AL,Madison County,"63,755",2633,9
1091,AL,Marengo County,"37,733",287,1
1093,AL,Marion County,"37,887",300,1
1095,AL,Marshall County,"46,233",1049,4
1097,AL,Mobile County,"43,598",775,3
1099,AL,Monroe County,"39,556",430,2
1101,AL,Montgomery County,"49,640",1460,5
1103,AL,Morgan County,"52,797",1826,6
1105,AL,Perry County,"26,814",5,1
1107,AL,Pickens County,"37,586",274,1
1109,AL,Pike County,"37,259",247,1
1111,AL,Randolph County,"40,546",503,2
1113,AL,Russell County,"39,104",385,2
1115,AL,St. Clair County,"57,284",2238,8
1117,AL,Shelby County,"75,663",2912,10
1119,AL,Sumter County,"27,859",10,1
1121,AL,Talladega County,"41,630",583,2
1123,AL,Tallapoosa County,"42,205",636,3
1125,AL,Tuscaloosa County,"52,557",1801,6
1127,AL,Walker County,"45,434",973,4
1129,AL,Washington County,"44,424",853,3
1131,AL,Wilcox County,"25,385",1,1
1133,AL,Winston County,"41,156",545,2
4001,AZ,Apache County,"33,652",95,1
4003,AZ,Cochise County,"49,164",1414,5
4005,AZ,Coconino County,"60,187",2439,8
4007,AZ,Gila County,"43,585",772,3
4009,AZ,Graham County,"50,157",1510,5
4011,AZ,Greenlee County,"65,818",2697,9
4012,AZ,La Paz County,"37,350",256,1
4013,AZ,Maricopa County,"65,234",2684,9
4015,AZ,Mohave County,"45,129",935,4
4017,AZ,Navajo County,"40,650",511,2
4019,AZ,Pima County,"53,395",1880,7
4021,AZ,Pinal County,"58,848",2346,8
4023,AZ,Santa Cruz County,"40,545",502,2
4025,AZ,Yavapai County,"48,758",1362,5
4027,AZ,Yuma County,"44,116",820,3
5001,AR,Arkansas County,"43,887",805,3
5003,AR,Ashley County,"41,127",543,2
5005,AR,Baxter County,"39,686",437,2
5007,AR,Benton County,"68,978",2806,10
5009,AR,Boone County,"44,482",862,3
5011,AR,Bradley County,"37,729",284,1
5013,AR,Calhoun County,"44,969",923,3
5015,AR,Carroll County,"45,023",927,3
5017,AR,Chicot County,"31,787",52,1
5019,AR,Clark County,"45,408",968,4
5021,AR,Clay County,"37,687",281,1
5023,AR,Cleburne County,"44,902",912,3
5025,AR,Cleveland County,"47,600",1220,4
5027,AR,Columbia County,"40,909",530,2
5029,AR,Conway County,"44,565",870,3
5031,AR,Craighead County,"45,615",989,4
5033,AR,Crawford County,"47,363",1187,4
5035,AR,Crittenden County,"42,606",675,3
5037,AR,Cross County,"41,214",551,2
5039,AR,Dallas County,"37,259",247,1
5041,AR,Desha County,"36,132",186,1
5043,AR,Drew County,"42,494",661,3
5045,AR,Faulkner County,"53,882",1936,7
5047,AR,Franklin County,"43,696",786,3
5049,AR,Fulton County,"35,630",161,1
5051,AR,Garland County,"43,610",776,3
5053,AR,Grant County,"52,050",1751,6
5055,AR,Greene County,"46,512",1083,4
5057,AR,Hempstead County,"38,682",357,2
5059,AR,Hot Spring County,"47,205",1169,4
5061,AR,Howard County,"40,199",474,2
5063,AR,Independence County,"45,596",986,4
5065,AR,Izard County,"37,828",295,1
5067,AR,Jackson County,"36,573",203,1
5069,AR,Jefferson County,"38,596",351,2
5071,AR,Johnson County,"39,381",403,2
5073,AR,Lafayette County,"35,527",158,1
5075,AR,Lawrence County,"40,308",482,2
5077,AR,Lee County,"28,080",12,1
5079,AR,Lincoln County,"44,951",921,3
5081,AR,Little River County,"43,559",768,3
5083,AR,Logan County,"41,471",571,2
5085,AR,Lonoke County,"56,651",2176,8
5087,AR,Madison County,"42,674",680,3
5089,AR,Marion County,"36,581",204,1
5091,AR,Miller County,"42,162",631,3
5093,AR,Mississippi County,"36,718",210,1
5095,AR,Monroe County,"32,922",75,1
5097,AR,Montgomery County,"38,318",332,2
5099,AR,Nevada County,"37,626",277,1
5101,AR,Newton County,"36,078",182,1
5103,AR,Ouachita County,"37,624",276,1
5105,AR,Perry County,"45,342",958,4
5107,AR,Phillips County,"29,945",31,1
5109,AR,Pike County,"41,534",576,2
