FIPStxt,Stabr,Area_name,"Poverty, total","Poverty, %",Poverty_ranked,Poverty_scaled
1001,AL,Autauga County,"7,587",13.8,1462,5
1003,AL,Baldwin County,"21,069",9.8,533,2
1005,AL,Barbour County,"6,788",30.9,3039,10
1007,AL,Bibb County,"4,400",21.8,2696,9
1009,AL,Blount County,"7,527",13.2,1328,5
1011,AL,Bullock County,"3,610",42.5,3101,10
1013,AL,Butler County,"4,731",24.5,2866,10
1015,AL,Calhoun County,"21,719",19.5,2465,8
1017,AL,Chambers County,"6,181",18.7,2371,8
1019,AL,Cherokee County,"4,180",16.3,2015,7
1021,AL,Chilton County,"7,542",17.3,2173,7
1023,AL,Choctaw County,"2,806",22.1,2716,9
1025,AL,Clarke County,"5,381",22.8,2760,9
1027,AL,Clay County,"2,285",17.6,2219,8
1029,AL,Cleburne County,"2,356",16,1956,7
1031,AL,Coffee County,"7,053",13.8,1462,5
1033,AL,Colbert County,"7,459",13.8,1462,5
1035,AL,Conecuh County,"2,979",24.4,2861,10
1037,AL,Coosa County,"1,973",18.9,2400,8
1039,AL,Covington County,"7,239",19.9,2511,9
1041,AL,Crenshaw County,"2,661",19.5,2465,8
1043,AL,Cullman County,"11,925",14.5,1628,6
1045,AL,Dale County,"7,743",16.2,1999,7
1047,AL,Dallas County,"11,841",31.4,3044,10
1049,AL,DeKalb County,"14,975",21.3,2651,9
1051,AL,Elmore County,"8,559",11.2,846,3
1053,AL,Escambia County,"8,022",23.6,2817,10
1055,AL,Etowah County,"17,509",17.5,2204,8
1057,AL,Fayette County,"3,801",23.5,2809,10
1059,AL,Franklin County,"5,939",19.2,2435,8
1061,AL,Geneva County,"5,537",21.3,2651,9
1063,AL,Greene County,"2,459",30.1,3026,10
1065,AL,Hale County,"3,705",25.6,2918,10
1067,AL,Henry County,"3,037",17.9,2258,8
1069,AL,Houston County,"17,032",16.5,2045,7
1071,AL,Jackson County,"10,046",19.7,2488,9
1073,AL,Jefferson County,"103,604",16.1,1978,7
1075,AL,Lamar County,"2,374",17.4,2191,8
1077,AL,Lauderdale County,"12,645",14,1519,5
1079,AL,Lawrence County,"6,297",19.3,2448,8
1081,AL,Lee County,"30,075",19,2412,8
1083,AL,Limestone County,"10,633",11.4,897,3
1085,AL,Lowndes County,"2,474",25.1,2894,10
1087,AL,Macon County,"5,031",30.2,3027,10
1089,AL,Madison County,"42,667",11.9,1002,4
1091,AL,Marengo County,"4,499",24,2845,10
1093,AL,Marion County,"5,844",20.2,2541,9
1095,AL,Marshall County,"17,341",18.3,2319,8
1097,AL,Mobile County,"84,539",20.8,2616,9
1099,AL,Monroe County,"4,560",21.9,2701,9
1101,AL,Montgomery County,"43,567",20.1,2533,9
1103,AL,Morgan County,"15,419",13.2,1328,5
1105,AL,Perry County,"2,943",35.3,3080,10
1107,AL,Pickens County,"4,177",23.1,2785,9
1109,AL,Pike County,"7,315",23.6,2817,10
1111,AL,Randolph County,"4,375",19.7,2488,9
1113,AL,Russell County,"12,384",21.7,2688,9
1115,AL,St. Clair County,"10,432",12,1023,4
1117,AL,Shelby County,"16,916",8,227,1
1119,AL,Sumter County,"4,076",34.7,3076,10
1121,AL,Talladega County,"14,825",19.3,2448,8
1123,AL,Tallapoosa County,"7,839",19.7,2488,9
1125,AL,Tuscaloosa County,"33,330",16.8,2102,7
1127,AL,Walker County,"11,231",17.9,2258,8
1129,AL,Washington County,"2,846",17.6,2219,8
1131,AL,Wilcox County,"3,504",33.4,3067,10
1133,AL,Winston County,"4,338",18.6,2359,8
4001,AZ,Apache County,"26,435",37.3,3091,10
4003,AZ,Cochise County,"18,273",15.1,1752,6
4005,AZ,Coconino County,"20,964",15.9,1935,7
4007,AZ,Gila County,"10,804",20.4,2569,9
4009,AZ,Graham County,"7,118",20.2,2541,9
4011,AZ,Greenlee County,985,10.5,689,3
4012,AZ,La Paz County,"4,921",23.7,2821,10
4013,AZ,Maricopa County,"535,183",12.3,1098,4
4015,AZ,Mohave County,"34,411",16.8,2102,7
4017,AZ,Navajo County,"30,876",28.5,3008,10
4019,AZ,Pima County,"164,927",16.2,1999,7
4021,AZ,Pinal County,"54,399",12.9,1249,5
4023,AZ,Santa Cruz County,"11,287",24.4,2861,10
4025,AZ,Yavapai County,"30,060",13.2,1328,5
4027,AZ,Yuma County,"39,648",19.5,2465,8
5001,AR,Arkansas County,"3,120",17.9,2258,8
