county_fips,county_name,state_id,population,pop_area_est,density,pop_ranked,pop_scaled,density_ranked,density_scaled
1001,Autauga,AL,57046,1512.03,37.73,2216,8,2191,8
1003,Baldwin,AL,207694,4077.05,50.94,2783,9,2367,8
1005,Barbour,AL,25278,1821.81,13.88,1511,5,1287,5
1007,Bibb,AL,22859,1415.86,16.14,1432,5,1437,5
1009,Blount,AL,45030,1311.39,34.34,2051,7,2122,7
1011,Bullock,AL,10341,1835.66,5.63,738,3,640,3
1013,Butler,AL,19770,1979.32,9.99,1290,5,1014,4
1015,Calhoun,AL,111533,1095.35,101.82,2552,9,2663,9
1017,Chambers,AL,35074,1130.1,31.04,1802,6,2044,7
1019,Cherokee,AL,28103,1296.41,21.68,1618,6,1728,6
1021,Chilton,AL,35064,1271.42,27.58,1800,6,1942,7
1023,Choctaw,AL,12712,2168.06,5.86,899,3,661,3
1025,Clarke,AL,25689,3099.97,8.29,1525,5,867,3
1027,Clay,AL,12391,1198.63,10.34,873,3,1043,4
1029,Cleburne,AL,14500,1096.82,13.22,1009,4,1248,5
1031,Coffee,AL,54456,1815.66,29.99,2196,8,2014,7
1033,Colbert,AL,52958,1404.59,37.7,2180,8,2190,8
1035,Conecuh,AL,12519,1915.41,6.54,883,3,717,3
1037,Coosa,AL,11075,1715.12,6.46,783,3,709,3
1039,Covington,AL,38464,3128.18,12.3,1901,7,1186,4
1041,Crenshaw,AL,13390,1421.34,9.42,940,4,964,4
1043,Cullman,AL,80685,1934.04,41.72,2412,8,2261,8
1045,Dale,AL,41368,986.38,41.94,1963,7,2264,8
1047,Dallas,AL,41575,2931.3,14.18,1968,7,1312,5
1049,DeKalb,AL,62688,1663.7,37.68,2274,8,2189,8
1051,Elmore,AL,87170,1720.01,50.68,2444,8,2363,8
1053,Escambia,AL,37781,2204.65,17.14,1882,7,1486,5
1055,Etowah,AL,118744,2354.07,50.44,2580,9,2360,8
1057,Fayette,AL,16209,1766.59,9.18,1113,4,940,4
1059,Franklin,AL,32919,1772.88,18.57,1749,6,1571,6
1061,Geneva,AL,26608,1461.96,18.2,1561,6,1551,6
1063,Greene,AL,7950,1446.17,5.5,558,2,629,3
1065,Hale,AL,16963,1660.63,10.21,1157,4,1035,4
1067,Henry,AL,17030,1188.94,14.32,1160,4,1320,5
1069,Houston,AL,107497,1634.53,65.77,2540,9,2502,9
1071,Jackson,AL,54475,2733.92,19.93,2197,8,1646,6
1073,Jefferson,AL,662401,2765,239.57,3000,10,2900,10
1075,Lamar,AL,13140,1440.86,9.12,922,3,938,4
1077,Lauderdale,AL,93174,1712.44,54.41,2475,8,2411,8
1079,Lawrence,AL,34703,1498.37,23.16,1795,6,1786,6
1081,Lee,AL,157181,2042.74,76.95,2693,9,2560,9
1083,Limestone,AL,90939,1611.4,56.43,2458,8,2433,8
1085,Lowndes,AL,9271,1450.39,6.39,655,3,703,3
1087,Macon,AL,18676,1100.8,16.97,1238,4,1479,5
1089,Madison,AL,359189,2200.36,163.24,2906,10,2820,10
1091,Marengo,AL,18704,2134.24,8.76,1241,5,906,3
1093,Marion,AL,29134,1820.98,16,1652,6,1427,5
1095,Marshall,AL,100751,1606.71,62.71,2512,9,2481,9
1097,Mobile,AL,415359,3216.83,129.12,2932,10,2737,9
1099,Monroe,AL,20465,2372.97,8.62,1316,5,899,3
1101,Montgomery,AL,227942,2098.11,108.64,2813,10,2681,9
1103,Morgan,AL,116971,1636.24,71.49,2575,9,2525,9
1105,Perry,AL,8596,1314.44,6.54,605,2,717,3
1107,Pickens,AL,20491,2359.42,8.68,1318,5,901,3
1109,Pike,AL,36262,2277.22,15.92,1840,6,1422,5
1111,Randolph,AL,22974,1556.83,14.76,1439,5,1351,5
1113,Russell,AL,58281,1684.64,34.6,2233,8,2130,7
1115,St. Clair,AL,80218,1615.94,49.64,2407,8,2354,8
1117,Shelby,AL,220555,2436.65,90.52,2805,10,2625,9
1119,Sumter,AL,13067,2190.14,5.97,920,3,669,3
1121,Talladega,AL,77288,2320.07,33.31,2391,8,2103,7
1123,Tallapoosa,AL,35562,1754.76,20.27,1821,6,1664,6
1125,Tuscaloosa,AL,210247,3132.92,67.11,2789,9,2506,9
1127,Walker,AL,64248,2258.16,28.45,2292,8,1971,7
1129,Washington,AL,16444,2472,6.65,1127,4,729,3
1131,Wilcox,AL,10872,2021.68,5.38,773,3,621,3
1133,Winston,AL,25917,1747.17,14.83,1535,5,1357,5
4001,Apache,AZ,74172,24895.1,2.98,2368,8,419,2
4003,Cochise,AZ,128307,16655,7.7,2614,9,826,3
4005,Coconino,AZ,136717,30363.55,4.5,2637,9,556,2
4007,Gila,AZ,50156,8743.88,5.74,2139,7,646,3
4009,Graham,AZ,37670,5474.44,6.88,1879,7,749,3
4011,Greenlee,AZ,9469,5015.73,1.89,670,3,295,1
4012,La Paz,AZ,20701,7680.35,2.7,1331,5,388,2
4013,Maricopa,AZ,4270185,18920.25,225.69,3097,10,2890,10
4015,Mohave,AZ,205179,26632.37,7.7,2781,9,826,3
4017,Navajo,AZ,111129,25277.27,4.4,2551,9,540,2
4019,Pima,AZ,1011756,22300.81,45.37,3056,10,2313,8
4021,Pinal,AZ,410769,10227.4,40.16,2929,10,2233,8
4023,Santa Cruz,AZ,46986,3412.32,13.77,2085,7,1284,5
4025,Yavapai,AZ,227838,20947.67,10.88,2812,10,1080,4
4027,Yuma,AZ,207933,7377.95,28.18,2784,9,1965,7
5001,Arkansas,AR,18805,2765.04,6.8,1245,5,741,3
5003,Ashley,AR,21085,2505.49,8.42,1350,5,878,3
5005,Baxter,AR,40416,1154.48,35.01,1946,7,2137,7
