county_fips,county_name,state_id,population,pop_area_est,density,RANK,RANGE
1001,Autauga,AL,57046,1512.03,37.73,2191,
1003,Baldwin,AL,207694,4077.05,50.94,2367,
1005,Barbour,AL,25278,1821.81,13.88,1287,
1007,Bibb,AL,22859,1415.86,16.14,1437,
1009,Blount,AL,45030,1311.39,34.34,2122,
1011,Bullock,AL,10341,1835.66,5.63,640,
1013,Butler,AL,19770,1979.32,9.99,1014,
1015,Calhoun,AL,111533,1095.35,101.82,2663,
1017,Chambers,AL,35074,1130.1,31.04,2044,
1019,Cherokee,AL,28103,1296.41,21.68,1728,
1021,Chilton,AL,35064,1271.42,27.58,1942,
1023,Choctaw,AL,12712,2168.06,5.86,661,
1025,Clarke,AL,25689,3099.97,8.29,867,
1027,Clay,AL,12391,1198.63,10.34,1043,
1029,Cleburne,AL,14500,1096.82,13.22,1248,
1031,Coffee,AL,54456,1815.66,29.99,2014,
1033,Colbert,AL,52958,1404.59,37.7,2190,
1035,Conecuh,AL,12519,1915.41,6.54,717,
1037,Coosa,AL,11075,1715.12,6.46,709,
1039,Covington,AL,38464,3128.18,12.3,1186,
1041,Crenshaw,AL,13390,1421.34,9.42,964,
1043,Cullman,AL,80685,1934.04,41.72,2261,
1045,Dale,AL,41368,986.38,41.94,2264,
1047,Dallas,AL,41575,2931.3,14.18,1312,
1049,DeKalb,AL,62688,1663.7,37.68,2189,
1051,Elmore,AL,87170,1720.01,50.68,2363,
1053,Escambia,AL,37781,2204.65,17.14,1486,
1055,Etowah,AL,118744,2354.07,50.44,2360,
1057,Fayette,AL,16209,1766.59,9.18,940,
1059,Franklin,AL,32919,1772.88,18.57,1571,
1061,Geneva,AL,26608,1461.96,18.2,1551,
1063,Greene,AL,7950,1446.17,5.5,629,
1065,Hale,AL,16963,1660.63,10.21,1035,
1067,Henry,AL,17030,1188.94,14.32,1320,
1069,Houston,AL,107497,1634.53,65.77,2502,
1071,Jackson,AL,54475,2733.92,19.93,1646,
1073,Jefferson,AL,662401,2765,239.57,2900,
1075,Lamar,AL,13140,1440.86,9.12,938,
1077,Lauderdale,AL,93174,1712.44,54.41,2411,
1079,Lawrence,AL,34703,1498.37,23.16,1786,
