FIPS,state,county,Ranked Length of Life,Ranked Quality of Life,Ranked Health Behaviors,Ranked Clinical Care,Ranked Social & Economic Factors,Ranked Physical Environment
01001,Alabama,Autauga,5,11,9,13,7,53
01003,Alabama,Baldwin,3,2,5,6,3,5
01005,Alabama,Barbour,23,55,54,41,60,28
01007,Alabama,Bibb,49,14,32,18,43,22
01009,Alabama,Blount,42,13,15,45,16,49
01011,Alabama,Bullock,45,63,63,58,66,19
01013,Alabama,Butler,64,56,57,56,55,45
01015,Alabama,Calhoun,51,28,39,40,33,37
01017,Alabama,Chambers,38,47,37,35,36,40
01019,Alabama,Cherokee,56,10,7,33,18,27
01021,Alabama,Chilton,19,16,33,52,30,31
01023,Alabama,Choctaw,57,43,44,23,52,23
01025,Alabama,Clarke,39,51,43,43,59,11
01027,Alabama,Clay,26,34,41,48,40,62
01029,Alabama,Cleburne,35,9,19,63,21,8
01031,Alabama,Coffee,6,3,10,17,5,10
01033,Alabama,Colbert,30,17,14,9,17,35
01035,Alabama,Conecuh,32,62,56,61,57,25
01037,Alabama,Coosa,60,53,48,39,50,61
01039,Alabama,Covington,43,32,24,51,26,7
01041,Alabama,Crenshaw,18,29,45,59,44,1
01043,Alabama,Cullman,22,15,22,21,10,43
01045,Alabama,Dale,28,21,42,12,24,14
01047,Alabama,Dallas,65,65,65,24,63,54
01049,Alabama,DeKalb,31,37,23,65,31,17
01051,Alabama,Elmore,8,4,12,15,12,52
01053,Alabama,Escambia,54,44,55,62,53,21
01055,Alabama,Etowah,47,20,34,46,27,18
01057,Alabama,Fayette,14,35,29,11,46,59
01059,Alabama,Franklin,21,46,20,66,32,4
01061,Alabama,Geneva,40,27,49,54,42,3
01063,Alabama,Greene,44,66,59,55,64,20
01065,Alabama,Hale,55,57,51,53,54,56
01067,Alabama,Henry,11,19,18,22,14,16
01069,Alabama,Houston,13,26,27,5,19,24
01071,Alabama,Jackson,36,33,28,30,38,15
01073,Alabama,Jefferson,34,23,11,1,23,65
01075,Alabama,Lamar,48,38,30,31,15,9
01077,Alabama,Lauderdale,10,18,2,8,6,30
01079,Alabama,Lawrence,46,25,26,60,39,36
01081,Alabama,Lee,2,6,3,10,8,67
01083,Alabama,Limestone,4,12,6,16,4,50
01085,Alabama,Lowndes,67,61,64,37,65,60
01087,Alabama,Macon,59,59,62,38,61,66
01089,Alabama,Madison,7,8,4,3,2,39
01091,Alabama,Marengo,53,54,50,19,51,48
01093,Alabama,Marion,37,30,21,57,25,44
01095,Alabama,Marshall,20,24,40,50,20,42
01097,Alabama,Mobile,27,39,35,25,48,64
01099,Alabama,Monroe,58,58,60,42,58,26
01101,Alabama,Montgomery,16,45,47,7,41,51
01103,Alabama,Morgan,12,7,8,14,9,57
01105,Alabama,Perry,63,67,67,49,56,29
01107,Alabama,Pickens,15,52,31,32,28,6
01109,Alabama,Pike,24,42,46,29,47,12
01111,Alabama,Randolph,25,22,36,47,35,33
01113,Alabama,Russell,41,41,52,28,37,63
01115,Alabama,St. Clair,17,5,13,36,13,55
01117,Alabama,Shelby,1,1,1,2,1,47
01119,Alabama,Sumter,62,64,61,27,62,46
01121,Alabama,Talladega,50,40,58,34,34,32
01123,Alabama,Tallapoosa,29,50,16,20,45,58
01125,Alabama,Tuscaloosa,9,31,17,4,11,38
01127,Alabama,Walker,66,49,53,26,29,34
01129,Alabama,Washington,52,48,38,64,49,2
01131,Alabama,Wilcox,61,60,66,44,67,13
01133,Alabama,Winston,33,36,25,67,22,41
02013,Alaska,Aleutians East,NR,NR,NR,NR,NR,NR
02016,Alaska,Aleutians West,12,19,16,18,3,12
02020,Alaska,Anchorage,8,15,4,2,6,24
02050,Alaska,Bethel,21,23,23,19,23,22
02060,Alaska,Bristol Bay,NR,NR,NR,NR,NR,NR
02068,Alaska,Denali,12,8,7,7,11,7
02070,Alaska,Dillingham,20,22,20,13,20,5
02090,Alaska,Fairbanks North Star,4,7,6,3,5,11
02100,Alaska,Haines,12,9,1,1,13,8
02105,Alaska,Hoonah-Angoon,12,16,12,21,18,1
02110,Alaska,Juneau,7,3,5,4,1,6
02122,Alaska,Kenai Peninsula,10,6,8,12,10,23
02130,Alaska,Ketchikan Gateway,9,14,13,6,7,18
02150,Alaska,Kodiak Island,1,2,9,11,4,19
02158,Alaska,Kusilvak,25,25,24,16,25,21
02164,Alaska,Lake and Peninsula,12,20,19,24,19,10
02170,Alaska,Matanuska-Susitna,3,11,10,8,9,25
02180,Alaska,Nome,22,21,25,25,21,17
02185,Alaska,North Slope,11,17,21,15,16,3
02188,Alaska,Northwest Arctic,23,24,22,23,22,15
02195,Alaska,Petersburg,12,5,3,10,8,2
02198,Alaska,Prince of Wales-Hyder,19,10,17,22,17,4
02220,Alaska,Sitka,2,12,2,5,2,14
02230,Alaska,Skagway,NR,NR,NR,NR,NR,NR
02240,Alaska,Southeast Fairbanks,5,1,11,17,15,9
02261,Alaska,Valdez-Cordova,6,4,14,9,14,16
02275,Alaska,Wrangell,12,13,15,14,12,13
02282,Alaska,Yakutat,NR,NR,NR,NR,NR,NR
02290,Alaska,Yukon-Koyukuk,24,18,18,20,24,20
04001,Arizona,Apache,15,14,15,15,15,12
04003,Arizona,Cochise,7,10,6,6,4,9
04005,Arizona,Coconino,10,8,5,4,2,5
04007,Arizona,Gila,13,13,11,11,11,1
04009,Arizona,Graham,9,11,13,5,6,2
04011,Arizona,Greenlee,5,2,9,7,1,3
04012,Arizona,La Paz,14,6,7,14,12,4
04013,Arizona,Maricopa,3,3,1,3,5,13
04015,Arizona,Mohave,11,9,12,12,9,7
04017,Arizona,Navajo,12,15,14,10,14,8
04019,Arizona,Pima,6,4,3,1,8,10
04021,Arizona,Pinal,4,7,8,8,7,15
04023,Arizona,Santa Cruz,1,12,2,9,10,14
04025,Arizona,Yavapai,8,5,4,2,3,6
04027,Arizona,Yuma,2,1,10,13,13,11
05001,Arkansas,Arkansas,54,47,49,44,36,7
05003,Arkansas,Ashley,29,62,57,57,57,32
05005,Arkansas,Baxter,10,4,1,2,19,4
05007,Arkansas,Benton,1,1,2,7,2,55
05009,Arkansas,Boone,13,8,26,6,7,14
05011,Arkansas,Bradley,48,63,59,62,55,29
05013,Arkansas,Calhoun,62,41,29,28,21,26
05015,Arkansas,Carroll,40,9,5,39,23,10
05017,Arkansas,Chicot,70,69,66,24,74,33
05019,Arkansas,Clark,27,43,22,4,18,40
05021,Arkansas,Clay,50,33,50,68,42,74
05023,Arkansas,Cleburne,35,10,6,20,29,15
05025,Arkansas,Cleveland,51,25,20,41,14,12
05027,Arkansas,Columbia,11,70,51,19,45,31
05029,Arkansas,Conway,31,35,31,27,37,56
05031,Arkansas,Craighead,8,48,48,3,8,71
05033,Arkansas,Crawford,15,24,21,29,13,68
05035,Arkansas,Crittenden,69,71,70,15,62,67
05037,Arkansas,Cross,63,57,45,46,35,27
05039,Arkansas,Dallas,34,51,35,34,49,8
05041,Arkansas,Desha,72,75,71,73,67,60
05043,Arkansas,Drew,49,56,47,60,40,23
05045,Arkansas,Faulkner,5,7,40,8,4,58
05047,Arkansas,Franklin,65,42,37,42,10,50
05049,Arkansas,Fulton,47,22,8,53,16,17
05051,Arkansas,Garland,45,34,15,5,59,22
05053,Arkansas,Grant,6,18,12,13,6,38
05055,Arkansas,Greene,41,14,32,12,12,46
05057,Arkansas,Hempstead,20,60,58,49,38,52
05059,Arkansas,Hot Spring,58,32,44,21,33,37
05061,Arkansas,Howard,38,49,65,66,11,30
05063,Arkansas,Independence,16,38,19,16,15,18
05065,Arkansas,Izard,55,12,25,63,39,6
05067,Arkansas,Jackson,56,58,69,45,69,51
05069,Arkansas,Jefferson,67,64,64,11,70,61
05071,Arkansas,Johnson,23,30,33,25,54,11
05073,Arkansas,Lafayette,32,59,62,67,65,47
05075,Arkansas,Lawrence,52,27,23,64,27,66
05077,Arkansas,Lee,36,73,74,59,73,53
05079,Arkansas,Lincoln,26,37,56,56,48,43
05081,Arkansas,Little River,33,45,52,32,61,48
05083,Arkansas,Logan,28,55,41,50,28,28
05085,Arkansas,Lonoke,24,3,30,23,5,75
05087,Arkansas,Madison,68,16,38,58,32,9
05089,Arkansas,Marion,43,20,9,48,43,19
05091,Arkansas,Miller,59,50,60,18,63,64
05093,Arkansas,Mississippi,73,65,72,51,71,73
05095,Arkansas,Monroe,75,72,63,54,68,45
05097,Arkansas,Montgomery,3,15,4,71,58,24
05099,Arkansas,Nevada,39,61,55,37,24,62
05101,Arkansas,Newton,19,11,7,31,56,25
05103,Arkansas,Ouachita,42,67,67,14,51,39
05105,Arkansas,Perry,14,21,10,30,25,35
