fips,health rank,population,pop_area_est,density,pop_ranked,pop_scaled,density_ranked,density_scaled, TOT_MALE,TOT_FEMALE,%  TOT_MALE,% TOT_FEMALE,maleness_ranked,maleness_scaled,% over 70,Rank over 70,scale over 70,% Age 0 to 29 years,% Age 30 to 39,% Age 40 to 49 years,% Age 50 to 59 years,% Age 60 to 69 years,% Age 70 to 79,% Age 80 to 85+,"Poverty, total","Poverty, %",Poverty_ranked,Poverty_scaled,Median_Income,Income_ranked,Income_scaled,% using transportation,Apr11_Cases,Apr11_Deaths,Apr11_cases_rank,Apr11_cases_scale,Apr11_deaths_rank,Apr11_deaths_scale,County ,State,Apr18_Cases,Apri18_Deaths,Apr18_cases_ranked,Apr_18_cases_scaled,Apr18_deaths_ranked,Apr_18_deaths_scaled,lat,lng
1001,2,57046.0,1512.03,37.73,2216.0,8.0,2191.0,8.0,26995.0,28606.0,48.55128505,51.44871495,475.0,2.0,10.90627866,763.0,3.0,38.31226057,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,"7,587",13.8,1462,5,"59,338",2380,8,,19.0,1.0,1577.0,7.0,1619.0,7.0,Autauga,Alabama,25.0,2.0,1621.0,6.0,1910.0,8.0,32.45322,-86.72385
1003,3,207694.0,4077.05,50.94,2783.0,9.0,2367.0,8.0,105657.0,112365.0,48.46162314,51.53837686,430.0,2.0,13.89951473,1967.0,7.0,34.514406799999996,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,"21,069",9.8,533,2,"57,588",2262,8,,66.0,1.0,2077.0,8.0,1619.0,7.0,Baldwin,Alabama,109.0,2.0,2226.0,9.0,1910.0,8.0,30.863190000000003,-87.73904
1005,0,25278.0,1821.81,13.88,1511.0,5.0,1287.0,5.0,13133.0,11748.0,52.78324826,47.21675174,2874.0,10.0,13.23097946,1677.0,6.0,36.01141433,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107000001,4.212049355,"6,788",30.9,3039,10,"34,382",124,1,,10.0,0.0,1204.0,5.0,1.0,1.0,Barbour,Alabama,18.0,0.0,1431.0,6.0,1.0,1.0,31.852090000000004,-85.42935
1007,1,22859.0,1415.86,16.14,1432.0,5.0,1437.0,5.0,11921.0,10479.0,53.21875,46.78125,2908.0,10.0,11.19642857,851.0,3.0,36.07589286,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,"4,400",21.8,2696,9,"46,064",1033,4,,13.0,0.0,1369.0,6.0,1.0,1.0,Bibb,Alabama,26.0,0.0,1643.0,7.0,1.0,1.0,32.91192,-87.26985
1009,2,45030.0,1311.39,34.34,2051.0,7.0,2122.0,7.0,28500.0,29340.0,49.27385892,50.72614108,1070.0,4.0,12.56224066,1428.0,5.0,37.01071923,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,"7,527",13.2,1328,5,"50,412",1542,5,,12.0,0.0,1319.0,6.0,1.0,1.0,Blount,Alabama,20.0,0.0,1487.0,6.0,1.0,1.0,33.90169,-86.51787
1011,0,10341.0,1835.66,5.63,738.0,3.0,640.0,3.0,5527.0,4611.0,54.51765634,45.48234366,2985.0,10.0,11.04754389,801.0,3.0,36.72321957,14.26316828,12.56658118,13.37541921,12.02406786,6.934306568999999,4.113237325,"3,610",42.5,3101,10,"29,267",24,1,,4.0,0.0,662.0,3.0,1.0,1.0,Bullock,Alabama,9.0,0.0,1045.0,4.0,1.0,1.0,32.1779,-85.93363000000001
1013,0,19770.0,1979.32,9.99,1290.0,5.0,1014.0,4.0,9165.0,10515.0,46.57012195,53.42987805,29.0,1.0,13.98882114,2002.0,7.0,36.06707317,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,"4,731",24.5,2866,10,"37,365",258,1,,6.0,0.0,888.0,4.0,1.0,1.0,Butler,Alabama,13.0,0.0,1242.0,5.0,1.0,1.0,31.86642,-86.85983
1015,1,111533.0,1095.35,101.82,2552.0,9.0,2663.0,9.0,54914.0,59363.0,48.05341407,51.94658593,223.0,1.0,11.7941493,1079.0,4.0,37.83876021,12.13280013,12.01204092,13.41039754,12.8118519,7.857224112999999,3.9369251910000003,"21,719",19.5,2465,8,"45,400",965,4,,57.0,0.0,2037.0,8.0,1.0,1.0,Calhoun,Alabama,66.0,2.0,2053.0,8.0,1910.0,8.0,33.65146,-85.8788
1017,1,35074.0,1130.1,31.04,1802.0,6.0,2044.0,7.0,16093.0,17522.0,47.87446081,52.12553919,178.0,1.0,13.35415737,1732.0,6.0,35.87981556,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,"6,181",18.7,2371,8,"39,917",456,2,,184.0,8.0,2340.0,9.0,2383.0,10.0,Chambers,Alabama,240.0,11.0,2424.0,9.0,2451.0,10.0,32.75379,-85.18444000000001
1019,2,28103.0,1296.41,21.68,1618.0,6.0,1728.0,6.0,12896.0,13136.0,49.53902889,50.46097111,1396.0,5.0,15.81899201,2538.0,9.0,32.21803934,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,"4,180",16.3,2015,7,"42,132",626,3,,7.0,0.0,1000.0,4.0,1.0,1.0,Cherokee,Alabama,12.0,0.0,1188.0,5.0,1.0,1.0,34.240590000000005,-85.60696999999999
