lat,lng,fips
32.45322,-86.72385,1001
30.86319,-87.73904,1003
31.85209,-85.42935,1005
32.91192,-87.26985,1007
33.90169,-86.51787,1009
32.1779,-85.93363,1011
31.86642,-86.85983,1013
33.65146,-85.8788,1015
32.75379,-85.18444,1017
34.24059,-85.60697,1019
32.80704,-86.67285,1021
32.10204,-88.25861,1023
31.78537,-87.64954,1025
33.16334,-86.15567,1027
33.78757,-85.46555,1029
31.60246,-85.6815,1031
34.73885,-88.01897,1033
31.47366,-86.94931,1035
33.08977,-86.06138,1037
31.49916,-86.38884,1039
31.58357,-86.29694,1041
34.29851,-86.63523,1043
31.25281,-85.73273,1045
32.47679,-87.05709,1047
34.30187,-86.03995,1049
32.48819,-86.31931,1051
31.14048,-87.07404,1053
34.04796,-85.92463,1055
33.71588,-87.67889,1057
34.35605,-87.95001,1059
31.17861,-85.79394,1061
32.75294,-88.01125,1063
32.85374,-87.73861,1065
31.60296,-85.2163,1067
31.14367,-85.40236,1069
34.9501,-85.75855,1071
33.59515,-87.00089,1073
33.95519,-88.01906,1075
34.95098,-87.24209,1077
34.64788,-87.30612,1079
32.69173,-85.3972,1081
34.76711,-87.08565,1083
31.99429,-86.56931,1085
32.24878,-85.74358,1087
34.72143,-86.48335,1089
32.42337,-87.9152,1091
34.22419,-87.75005,1093
34.32333,-86.50143,1095
30.94264,-88.01644,1097
31.75818,-87.1847,1099
32.29372,-85.98264,1101
34.60907,-87.01333,1103
32.69351,-87.28014,1105
33.07371,-88.19359,1107
31.88607,-85.72077,1109
33.46623,-85.35928,1111
32.2766,-84.99898,1113
33.60277,-86.49615,1115
33.21591,-86.79717,1117
32.79859,-88.30287,1119
33.35989,-86.26918,1121
32.91644,-85.9368,1123
33.28425,-87.09455,1125
33.81953,-87.00754,1127
31.1718,-88.00338,1129
31.88219,-87.4598,1131
34.23388,-87.18817,1133
54.12863,-165.80591,2013
51.84287,-176.63139,2016
61.22034,-149.85703,2020
60.90924,-161.42028,2050
58.98854,-155.56022,2060
64.29661,-149.16065,2068
59.26833,-158.62828,2070
67.16977,-149.56917,2090
59.12421,-135.70688,2100
57.43987,-134.19674,2105
58.39768,-134.05518,2110
59.86781,-151.49527,2122
55.56908,-131.01272,2130
57.90188,-153.02841,2150
56.24475,-158.75781,2164
61.6303,-148.98707,2170
63.4738,-162.12295,2180
70.1385,-149.95982,2185
65.97593,-161.13864,2188
56.77902,-134.16028,2195
55.94573,-132.74167,2198
56.96056,-135.05446,2220
59.56292,-135.33619,2230
64.02799,-144.63394,2240
61.28097,-142.78996,2261
62.69434,-164.64753,2270
55.82123,-132.05943,2275
59.52058,-139.48834,2282
62.63815,-160.21788,2290
33.86056,-109.17681,4001
32.17426,-110.37704,4003
34.45127,-110.86441,4005
33.00418,-110.786,4007
33.10616,-110.23729,4009
33.32098,-109.38563,4011
33.99878,-113.90159,4012
33.45076,-112.07836,4013
34.70927,-113.56826,4015
34.29984,-109.99991,4017
32.22944,-112.65434,4019
33.3534,-111.35045,4021
31.66144,-110.51203,4023
34.11917,-112.04425,4025
33.02342,-113.28109,4027
34.38592,-91.3978,5001
33.13014,-92.00055,5003
36.45017,-92.23374,5005
36.35041,-94.25426,5007
36.23725,-93.09178,5009
33.58006,-92.26493,5011
33.63755,-92.72031,5013
36.25034,-93.3303,5015
33.5193,-91.48056,5017
33.88688,-93.11776,5019
36.41929,-90.54196,5021
35.67213,-92.1713,5023
33.93068,-92.33571,5025
33.08114,-93.16366,5027
35.37104,-92.57652,5029
35.87894,-90.66057,5031
35.47552,-94.19437,5033
35.1448,-90.18805,5035
35.38816,-90.78199,5037
34.04513,-92.55299,5039
33.62346,-91.20873,5041
33.63088,-91.7465,5043
35.07331,-92.36154,5045
35.44217,-93.72353,5047
36.27636,-92.05641,5049
34.52697,-92.97158,5051
34.14421,-92.31452,5053
36.12416,-90.69436,5055
33.64419,-93.59448,5057
34.24924,-93.39337,5059
34.14469,-94.04102,5061
35.57546,-91.45792,5063
36.22049,-91.7465,5065
35.54,-91.07153,5067
34.17717,-91.90319,5069
35.51384,-93.51169,5071
33.09207,-93.72343,5073
35.93353,-91.09786,5075
34.72386,-90.89146,5077
34.01741,-91.57343,5079
